symbol,exchange,name,type,week52change,week52high,week52low,marketcap,employees,day200movingavg,day50movingavg,float,avg10volume,avg30volume,ttmeps,ttmdividendrate,companyname,sharesoutstanding,maxchangepercent,year5changepercent,year2changepercent,year1changepercent,ytdchangepercent,month6changepercent,month3changepercent,month1changepercent,day30changepercent,day5changepercent,nextdividenddate,dividendyield,nextearningsdate,exdividenddate,peratio,beta,primaryexchange,calculationprice,open,opentime,opensource,close,closetime,closesource,high,hightime,highsource,low,lowtime,lowsource,latestprice,latestsource,latesttime,latestupdate,latestvolume,iexrealtimeprice,iexrealtimesize,iexlastupdated,delayedprice,delayedpricetime,oddlotdelayedprice,oddlotdelayedpricetime,extendedprice,extendedchange,extendedchangepercent,extendedpricetime,previousclose,previousvolume,change,changepercent,volume,iexmarketpercent,iexvolume,avgtotalvolume,iexbidprice,iexbidsize,iexaskprice,iexasksize,iexopen,iexopentime,iexclose,iexclosetime,ytdchange,lasttradetime,isusmarketopen
CYCN,NAS,Cyclerion TherapeuticsInc.,cs,-0.743068,17.46,1.69,115737933,94,5.48,3.31,23168292,187407,192690.07,-3.8484,,"Cyclerion Therapeutics, Inc.",27754900,-0.6664,-0.6664,-0.6664,-0.743068,0.622568,1.024272,0.0399,0.516364,0.385382,0.05303,,,,,-1.08,1.1686276087395975,NASDAQ,close,,,official,,,official,,1588974044116,15 minute delayed price,,1588944819522,15 minute delayed price,4.17,Close,"May 8, 2020",1588968000290,,,,,,,,,,,,,3.94,117879,0.23,0.05838,,,,192690,,,,,,,4.195,1588967944399,0.56378,1588968000290,false
CYRN,NAS,CYREN Ltd.,cs,-0.508718,2.04,0.31,57428268,248,1.3204,0.8764,25006294,27032.3,41824.27,-0.3261,,CYREN Ltd.,59946000,-0.012167,-0.245669,-0.41227,-0.251563,-0.508718,-0.669,-0.6863,1.0,0.205031,0.019149,,,2020-05-13,,-2.94,0.32549613637791003,NASDAQ,close,,,official,,,official,,1588968000534,15 minute delayed price,,1588944602386,15 minute delayed price,0.958,Close,"May 8, 2020",1588968000534,,,,,,,,,,,,,0.9699,41774,-0.0119,-0.01227,,,,41824,,,,,0.65,1584475005946,0.9645,1588691850065,-0.24587,1588968000534,false
CYRX,NAS,CryoPort Inc.,cs,0.36357700000000004,25.02,12.4,781275800,125,17.38,17.13,37182814,477204.4,424006.93,-0.5618,,"CryoPort, Inc.",37670000,0.102605,0.096195,0.492086,0.254688,0.363577,1.2422,1.8103,-0.7812,0.368977,0.135194,,,2020-08-06,,-36.92,0.8196456958005361,NASDAQ,close,,,official,,,official,,1588971951481,15 minute delayed price,,1588944807559,15 minute delayed price,20.74,Close,"May 8, 2020",1588968000247,,,,,,,,,,,,,20.64,595638,0.1,0.00484,,,,424007,,,,,,,20.76,1588967988501,0.24824000000000002,1588968003616,false
CYTK,NAS,Cytokinetics Incorporated,cs,0.749168,17.05,7.73,937073840,156,12.26,13.29,54268705,851609.3,818528.6,-2.2444,,"Cytokinetics, Inc.",59459000,0.038563,0.08059,0.933129,0.493365,0.748613,0.822,1.7649,-0.8369,0.340851,0.134269,,,2020-07-29,,-7.02,0.9250495636205676,NASDAQ,close,,,official,,,official,,1588970874769,15 minute delayed price,,1588959766208,15 minute delayed price,15.76,Close,"May 8, 2020",1588968000341,,,,,,,,,,,,,15.73,844032,0.03,0.00191,,,,818529,,,,,,,15.755,1588967995480,0.48311000000000004,1588967999496,false
DCAR,NAS,DropCar Inc.,cs,-0.655843,1.93,0.36,2787636,6,0.6967,0.5238,3727765,2702107,1388091.77,-2.8787,,"DropCar, Inc.",4550500,0.155849,-0.188609,-0.007775,-0.345233,-0.655843,-0.9444,-0.9898,-1.0,0.303404,0.494146,,,,,-0.21,0.8898435550449565,NASDAQ,close,,,official,,,official,,1588977530025,15 minute delayed price,,1588947805616,15 minute delayed price,0.6126,Close,"May 8, 2020",1588968000835,,,,,,,,,,,,,0.6196,1316771,-0.007,-0.0113,,,,1388092,,,,,,,0.7136,1588794597087,-0.3001,1588967999694,false
CZNC,NAS,Citizens & Northern Corporation,cs,-0.354974,29.25,15.69,254772672,336,24.12,18.97,13231263,28582.1,26673.07,1.3554,1.08,Citizens & Northern Corp.,13786400,0.007084,-0.3125,-0.294118,-0.344681,-0.354974,-0.2521,-0.0571,-0.0865,0.001083,-0.064304,,0.05844155844155845,2020-07-16,2020-04-24,13.63,1.4773797639363042,NASDAQ,close,,,official,,,official,,1588968017685,15 minute delayed price,,1588949123001,15 minute delayed price,18.48,Close,"May 8, 2020",1588968000514,,,,,,,,,,,,,17.25,18673,1.23,0.0713,,,,26673,,,,,,,18.55,1588967100198,-0.28049999999999997,1588968017685,false
CZR,NAS,Caesars Entertainment Corporation,cs,0.067107,14.74,3.22,6634673900,64000,11.56,8.28,676786669,15328253.8,16109566.7,-1.7714,,Caesars Entertainment Corp.,683987000,0.022129,-0.313031,-0.244548,-0.286765,0.067107,-0.195,0.0419,0.4038,0.416058,0.223203,,,2020-05-11,,-5.48,1.0831010782878545,NASDAQ,close,,,official,,,official,,1588982397263,15 minute delayed price,,1588944964151,15 minute delayed price,9.7,Close,"May 8, 2020",1588968000692,,,,,,,,,,,,,9.48,15382088,0.22,0.02321,,,,16109567,,,,,,,9.69,1588967975008,-0.26459,1588967999604,false
CZWI,NAS,Citizens Community Bancorp Inc.,cs,-0.290435,12.75,5.26,90992160,288,10.5,7.48,10507164,26327,17888.37,0.9952,0.2,"Citizens Community Bancorp, Inc. (Wisconsin)",11151000,0.036204,-0.314286,-0.286713,-0.332242,-0.290219,-0.4146,-0.1033,0.2612,0.205318,0.301435,,0.024509803921568627,2020-07-24,2020-02-04,8.2,0.6149798897200247,NASDAQ,close,,,official,,,official,,1588968000181,15 minute delayed price,,1588957216920,15 minute delayed price,8.16,Close,"May 8, 2020",1588968000181,,,,,,,,,,,,,7.92,18602,0.24,0.0303,,,,17888,,,,,,,7.96,1588965073785,-0.3019,1588968000181,false
DAIO,NAS,Data I/O Corporation,cs,-0.291028,4.94,2.34,26636040,96,3.75,2.97,6920010,23064.7,15714.97,-0.2151,,Data I/O Corp.,8221000,0.040193,-0.193267,-0.19125,-0.269735,-0.292123,-0.5569,0.0062,1.6917,0.08194,-0.004615,,,2020-07-23,,-15.06,0.24291311956887235,NASDAQ,close,,,official,,,official,,1588944603560,15 minute delayed price,,1588967598940,15 minute delayed price,3.24,Close,"May 8, 2020",1588968000256,,,,,,,,,,,,,3.26,7163,-0.02,-0.00613,,,,15715,,,,,,,3.245,1588860150656,-0.24193,1588968000256,false
ACM,NYS,AECOM,cs,0.06733600000000001,52.4,21.76,5785508040,86000,39.32,33.35,158362514,1803318.7,2158281.17,-2.7597,,AECOM,160086000,0.050581,-0.233997,-0.159535,-0.159144,0.067336,0.0466,0.1606,0.7128,0.257043,0.092503,,,2020-08-11,,-13.1,1.184285419427424,New York Stock Exchange,close,,,official,,,official,,1588977000006,15 minute delayed price,,1588961319783,15 minute delayed price,36.14,Close,"May 8, 2020",1588968001821,,,,,,,,,,,,,35.15,1385488,0.99,0.02817,,,,2158281,,,,,,,36.165,1588967996702,-0.13723,1588968025957,false
