names,openprice,upside,downside,dayVolatility,percenchange,weightedDayVolatility,high_close,volume traded %,tradedvol,tradedval,dayVolume,peratio,revenue,div_val,marketcap,operating_margin,net_profit_margin,debt_assets_ratio,shortdebt_over_profit,p_nav,profitMarginGrowth,cash_percen,Revenue growth,Operating Income growth,Net Income growth,Cash growth,"Total Receivables, Net growth","Accumulated Depreciation, Total growth",Total Assets growth,Total Current Liabilities growth,Total Long Term Debt growth,Total Debt growth,"Common Stock, Total growth",receiveables over revenue,cash over assets,long term debt over debt
Venture,15.75,0.23746031746031737,-0.2579872204472844,1.59,-0.38,1.21,1.59,0.13497315087476183,686400.0,10810800.0,0.0023779663952884114,12.4330285182889,3633430000.0,4.285601363918165,4624070000.0,11.56,10.001,0.008850881881346874,-1.8877261586759562,1.1481151540252643,5.098424627836393,0.21820875009544172,0.1,0.3,0.3,0,0.12,0.01,0.07,0.08,0.0,3.29,0.04,1.94,0,0.0
AEM,3.06,0.006535947712418306,-2.7090909090909094,2.61,-1.61,0.9999999999999998,2.61,0.8083552655966193,3933600.0,12036816.0,0.01458131000481892,15.834771428571427,323130000.0,3.521914285714284,576680000.0,19.631,16.329,0.00969468327776803,-1.9990523123578468,2.4757706265183095,0.0,0.4723635725565889,0.77,1.44,1.58,0,0.37,0.0,0.64,0.9,4.36,7.79,0.15,0.85,0,1.66
Hi-P,1.11,0.5135135135135134,-0.585714285714286,3.6,-1.77,1.83,3.6,0.09097793834655543,1545100.0,1715061.0,0.001918258904738848,11.060357142857145,1367670000.0,5.604367346938777,860560000.0,7.611,5.872,0.11484116722540086,-2.257004109077325,0.6070268930727085,6.494364754098361,0.2551776465032014,0.0,-0.61,-0.34,0,-0.05,0.02,0.0,0.03,-0.77,0.03,0.0,4.89,0,0.38
UMS,0.905,0.21546961325966857,-0.6454545454545454,2.21,-1.09,1.1199999999999999,2.21,0.25926961579330016,6632700.0,6002593.5,0.012364520999944076,14.376242038216562,131910000.0,5.1729108280254765,418420000.0,25.471,25.179,0.06364680895511994,-0.47914183551847433,1.6006764153120774,1.6397964649169792,0.11963371748894537,0.08,0.16,0.14,0,0.22,0.04,0.09,0.38,0.61,29.17,0.0,2.45,0,-1.76
Sarine Tech,0.225,0.8888888888888888,-0.3888888888888889,2.22,0.0,2.22,2.22,0.05390758699372504,353700.0,79582.5,0.001008841985168283,0.0,73270000.0,,76040000.0,2.145,-2.673,0.09113300492610837,16.35204081632653,0.7921771440048202,0.0,0.382032667876588,0.05,0.37,0.62,-0.11,0.09,0.12,-0.01,0.07,0.0,0.0,0.0,5.4,4.94,0.0
Valuetronics,0.66,0.3030303030303029,-0.5172413793103449,3.79,-1.49,2.3,3.03,0.1317241379310345,2268100.0,1496946.0,0.005214022988505747,7.529365853658535,511260000.0,6.318829268292681,272270000.0,8.465,7.551,0.0,-5.075887075887076,0.0,2.8913580246913577,0.46213562335785274,0.05,0.1,0.1,0,0.02,0.07,0.08,0.06,0.0,0.0,0.04,8.5,0,0.0
IPS Securex,0.075,0.29333333333333345,-2.5714285714285707,6.67,-7.41,-0.7400000000000002,6.67,0.7138849929873773,8064200.0,604815.0,0.016632703572312516,0.0,13130000.0,0.0,33049999.999999996,-0.799,-0.934,0.006102877070619006,37.416666666666664,2.381335952848723,0.0,0.33740191804707936,-0.13,-0.69,-0.66,0,-0.21,0.0,-0.12,-0.06,0.02,-0.35,0.0,2.14,0,5.49
Broadway Ind,0.1,0.5299999999999999,-1.857142857142857,8.0,-4.76,3.24,6.0,0.5808608352023924,19332800.0,1933280.0,0.04129616575883798,0.0,306850000.0,0.0,38700000.0,-4.359,-5.02,0.18913054708890842,-1.822875816993464,0.2825627716079189,0.0,0.04504830293950509,-0.06,-1.54,-3.62,2.31,-0.13,-0.46,-0.18,-0.16,-0.51,0.29,0.0,6.55,-10.67,1.89
Frencken,0.805,0.2298136645962732,-0.6947368421052633,3.11,-1.83,1.2799999999999998,3.11,0.06742472396826518,1071000.0,862155.0,0.0025213645031428775,8.066541095890415,659150000.0,3.2332328767123295,310080000.0,8.177,6.463,0.1358158830501778,-1.265754071276847,0.6107922940892772,4.81007431874484,0.24176214934808377,0.11,0.43,0.53,0.75,0.04,-0.01,0.11,0.11,2.02,0.07,0.01,0.01,8.18,3548.73
Fu Yu,0.225,0.28888888888888875,-0.21621621621621626,2.22,2.27,-0.04999999999999982,0.0,0.07437017755879892,676000.0,152100.0,0.0008977542862455012,13.353000000000002,194130000.0,7.1110000000000015,169420000.0,8.686,6.537,0.04290670074858499,-6.2301024428684,0.5682657476353391,-0.7771189396581794,0.4037794412999817,-0.03,0.07,0.22,0,-0.02,-0.02,-0.03,-0.02,0.0,0.0,0.0,-3.97,0,0.0
