names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
DBS,17.4,18.250 - 17.360,18.16,20-Mar-20,"46,561.09M",2.55B,-,148.29M,2.46,-,SGD 23.77386,SGD 23.63587,7.368,3.09,6.703,0.91,6.773,4.242,"34,304.00M",38.234,"80,865.09M","578,946.00M",-,12.595,1.138,-586.00M,-,"15,592.00M",-,50.332,"6,299.00M",42.672,9.319,8.918,"10,029.00M",Banking & Investment Services / Banks / 
Ascendas Reit,2.54,2.600 - 2.380,2.51,20-Mar-20,"9,081.65M",3.62B,-,388.12M,-,-,SGD 3.05306,SGD 3.05176,15.583,9.827,-,1.118,-,-,"5,133.58M",56.895,"14,215.23M","11,413.82M",52.34M,-,4.234,-,-,924.12M,587.53M,68.777,517.65M,57.558,-,-,635.58M,Real Estate / Commercial REITs / 
Singtel,2.37,2.430 - 2.340,2.41,20-Mar-20,"39,353.27M",16.32B,-,636.64M,0.19,-,SGD 3.15079,SGD 3.14436,30.941,2.317,10.558,1.461,7.261,4.752,"12,502.70M",29.439,"49,504.67M","48,914.80M",512.70M,10.393,2.555,"-2,057.90M",-,"16,985.10M","2,537.90M",13.706,"1,273.20M",7.345,0.151,-3.703,"4,667.50M",Telecommunications Services / Integrated Telecommunications Services / 
UOB,18.35,19.060 - 18.170,18.96,20-Mar-20,"31,863.07M",1.67B,-,73.98M,2.6,-,SGD 24.67868,SGD 24.61653,7.277,3.074,6.688,0.798,5.802,3.682,"-52,849.00M",63.6,"-20,985.93M","404,409.00M",-,11.245,1.101,-573.00M,-,"12,557.00M",-,49.923,"4,345.00M",42.099,4.871,5.729,"5,575.00M",Banking & Investment Services / Banks / 
OCBC Bank,8.1,8.390 - 8.100,8.36,20-Mar-20,"36,855.85M",4.40B,-,144.02M,1.1,-,SGD 10.44678,SGD 10.42305,7.498,1.292,6.671,0.78,6.34,3.916,"-29,626.00M",62.313,"7,229.85M","491,691.00M",-,10.905,1.047,-368.00M,-,"12,098.00M",-,20.327,"4,869.00M",17.6,6.146,1.731,"7,070.00M",Banking & Investment Services / Banks / 
Mapletree Log Tr,1.27,1.400 - 1.270,1.38,20-Mar-20,"5,244.38M",3.80B,-,365.60M,0.13,-,SGD 1.7045,SGD 1.70329,10.289,10.833,10.332,1.071,-,5.734,"2,937.51M",63.541,"8,133.75M","8,078.34M",104.30M,10.368,6.182,-,-,484.09M,332.30M,82.416,487.29M,104.361,1.048,1.565,373.83M,Real Estate / Commercial REITs / 
SGX,8.1,8.670 - 8.100,8.67,20-Mar-20,"9,291.14M",1.07B,-,83.74M,0.36,-,SGD 8.7384,SGD 8.74499,22.352,9.726,18.86,8.631,3.46,3.801,-652.80M,-,"8,820.85M","2,132.29M",470.29M,35.764,24.115,-47.35M,-,955.29M,461.02M,51.829,416.76M,43.627,5.785,4.068,571.61M,Banking & Investment Services / Financial & Commodity Market Operators / 
CapitaMall Trust,1.79,1.840 - 1.730,1.78,20-Mar-20,"6,568.48M",3.69B,-,365.60M,0.19,-,SGD 2.41225,SGD 2.40971,11.457,8.349,9.402,0.845,5.582,4.437,"3,370.00M",42.609,"9,938.48M","11,731.66M",202.20M,9.172,5.999,-0.97M,-,786.74M,374.79M,47.639,696.93M,88.585,2.539,1.235,505.73M,Real Estate / Commercial REITs / 
Keppel Corp,4.98,5.250 - 4.970,5.2,20-Mar-20,"9,466.90M",1.82B,-,83.57M,0.4,-,SGD 6.31894,SGD 6.31465,13.455,1.249,8.33,0.843,3.846,3.759,"9,751.98M",62.747,"19,218.88M","31,321.56M","1,905.10M",6.29,2.629,-516.79M,-,"7,579.70M",876.50M,11.564,706.98M,10.042,-10.554,-17.738,"1,291.34M",Industrial Conglomerates / Industrial Conglomerates / 
CapitaCom Trust,1.48,1.550 - 1.470,1.49,20-Mar-20,"5,754.20M",3.86B,-,315.24M,0.11,-,SGD 1.9736,SGD 1.97298,13.035,13.955,13.194,-,4.938,4.374,"2,810.51M",38.521,"8,359.24M","10,190.75M",205.47M,6.165,-,-0.08M,-,412.35M,303.15M,73.518,433.91M,105.708,5.185,-4.812,294.81M,Real Estate / Commercial REITs / 
Mapletree Com Tr,1.75,1.810 - 1.700,1.77,20-Mar-20,"5,854.29M",3.31B,-,327.39M,0.2,-,SGD 2.27605,SGD 2.27418,5.746,12.498,6.504,1.006,4.397,4.449,"2,942.71M",49.83,"8,155.31M","7,100.77M",49.12M,13.086,11.406,-0.03M,-,468.40M,582.30M,192.163,900.10M,192.163,3.905,4.338,331.49M,Real Estate / Commercial REITs / 
CityDev,6.7,6.990 - 6.650,6.89,20-Mar-20,"6,265.09M",906.90M,-,49.81M,0.5,-,SGD 10.11444,SGD 10.09552,11.667,1.827,7.148,0.594,2.032,1.361,"6,558.02M",74.738,"12,823.10M","23,200.26M","3,360.33M",5.454,2.783,-218.93M,-,"3,428.73M",653.93M,19.072,551.67M,17.889,-1.799,-5.961,850.64M,Real Estate / Real Estate Development & Operations / 
Suntec Reit,1.15,1.290 - 1.150,1.19,20-Mar-20,"3,345.26M",2.81B,-,275.22M,0.13,-,SGD 1.75001,SGD 1.74832,9.124,9.122,8.449,0.558,6.954,4.801,"3,473.04M",50.875,"6,818.30M","10,032.37M",157.21M,6.725,4.043,-0.63M,-,366.73M,410.97M,112.063,390.53M,107.734,2.252,0.71,184.20M,Real Estate / Commercial REITs / 
NetLink NBN Tr,0.81,0.900 - 0.810,0.9,20-Mar-20,"3,507.27M",3.90B,-,250.70M,0.02,-,SGD 0.93676,SGD 0.93653,40.946,9.593,13.891,1.21,5.511,-,566.99M,20.943,"3,993.21M","4,281.80M",148.62M,2.494,2.034,-71.10M,-,365.61M,88.88M,27.497,85.66M,23.428,-,-,266.43M,Telecommunications Services / Integrated Telecommunications Services / 
CapitaLand,2.68,2.830 - 2.660,2.8,20-Mar-20,"14,382.62M",5.04B,-,212.23M,0.46,-,SGD 3.58055,SGD 3.5757,6.381,2.307,4.051,0.581,-,3.282,"25,243.46M",113.211,"39,626.07M","82,345.92M","6,167.61M",9.886,4.645,-81.47M,-,"6,234.76M","4,078.84M",65.421,"2,135.89M",54.752,10.36,12.891,"2,941.99M",Real Estate / Real Estate Development & Operations / 
ST Engineering,3.08,3.160 - 3.010,3.1,20-Mar-20,"9,679.74M",3.12B,-,114.61M,0.18,-,SGD 3.98658,SGD 3.98346,16.828,1.23,10.073,4.346,4.839,4.146,"1,883.87M",21.1,"11,563.61M","9,521.28M",453.83M,25.867,6.934,-394.56M,-,"7,868.28M",653.99M,8.312,577.95M,7.532,3.638,1.545,"1,022.24M",Industrial Goods / Aerospace & Defense / 
Venture,13.61,14.000 - 13.020,13.98,20-Mar-20,"4,052.54M",288.62M,-,31.25M,1.25,-,SGD 15.90946,SGD 15.91579,11.157,1.115,10.079,1.616,5.007,4.367,-685.49M,0.694,"3,367.05M","3,274.25M",714.47M,14.987,11.217,-35.19M,-,"3,633.43M",420.02M,11.56,363.13M,10.001,6.926,35.285,443.82M,Technology Equipment / Electronic Equipment & Parts / 
Mapletree Ind Tr,2,2.100 - 1.980,2.1,20-Mar-20,"4,622.10M",2.20B,-,186.46M,0.14,-,SGD 2.59259,SGD 2.5915,14.579,11.473,15.549,1.329,4.993,5.277,"1,573.92M",43.371,"5,978.81M","4,607.06M",40.01M,9.305,6.215,-0.14M,-,402.88M,214.23M,59.001,297.20M,73.77,1.889,-5.495,278.96M,Real Estate / Commercial REITs / 
Wilmar Intl,3,3.140 - 2.970,3.09,20-Mar-20,"19,786.51M",6.34B,-,123.38M,0.29,-,SGD 3.89562,SGD 3.89344,10.432,0.32,6.179,0.805,4.045,2.833,"28,092.36M",32.33,"47,878.88M","47,048.61M","4,361.41M",7.73,2.861,"-1,813.22M",-,"61,918.30M","1,530.47M",3.589,"1,841.25M",3.112,-0.022,2.053,"4,076.58M",Food & Beverages / Food Processing / 
Genting Sing,0.515,0.580 - 0.515,0.58,20-Mar-20,"7,014.54M",12.06B,-,674.13M,0.06,-,SGD 0.8503,SGD 0.85028,10.151,2.828,6.505,0.868,6.034,3.176,"-3,686.61M",3.185,"3,327.93M","9,250.08M","3,947.25M",8.695,7.242,-247.25M,-,"2,480.34M",863.41M,34.81,688.60M,27.762,-2.495,6.245,"1,159.84M",Cyclical Consumer Services / Casinos & Gaming / 
SIA,6.1,6.200 - 6.010,6.02,20-Mar-20,"7,223.10M",1.19B,-,47.36M,0.62,-,SGD 8.38163,SGD 8.36799,9.927,0.428,2.674,0.587,4.983,2.911,"6,418.90M",48.343,"10,816.70M","30,505.20M","3,060.80M",5.222,2.546,"-5,667.70M",-,"16,870.20M",997.60M,6.03,723.00M,4.539,1.261,13.663,"3,051.70M",Transportation / Airlines / 
Keppel DC Reit,1.77,1.950 - 1.770,1.91,20-Mar-20,"3,118.62M",1.63B,-,159.55M,0.08,-,SGD 2.10323,SGD 2.10183,25.066,16.007,-,1.669,3.527,4.518,764.84M,47.133,"3,883.46M","2,927.99M",155.88M,6.43,4.284,-8.71M,-,194.83M,123.70M,63.491,106.50M,57.028,18.085,16.102,156.75M,Real Estate / Commercial REITs / 
JMH USD,USD 46.000,USD 55.680 - 46.000,USD 52.440,20-Mar-20,"38,420.89M",373.98M,-,6.09M,4.23,-,USD 54.90561,USD 54.61364,6.929,0.939,8.671,0.654,3.28,2.749,"12,213.00M",39.317,"50,633.89M","97,028.00M","7,212.00M",10.06,4.78,"-1,562.00M",-,"40,922.00M","4,735.00M",11.571,"2,838.00M",10.933,0.281,10.426,"5,261.00M",Industrial Conglomerates / Industrial Conglomerates / 
DLC SG5xLong AREIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NaN
Jardine C&C,17.25,18.760 - 17.110,18.6,20-Mar-20,"7,351.40M",395.24M,-,8.95M,3.37,-,SGD 28.10815,SGD 28.04211,5.743,0.272,1.653,0.738,6.537,2.899,"9,385.94M",54.144,"16,737.33M","29,072.40M","1,872.60M",13.556,7.006,-881.40M,-,"26,996.14M","2,196.40M",11.814,"1,279.88M",10.626,-1.628,-0.112,"4,836.36M",Automobiles & Auto Parts / Auto & Truck Manufacturers / 
AEM,1.4,1.590 - 1.390,1.57,20-Mar-20,429.09M,269.77M,-,184.03M,0.19,-,SGD 1.78566,SGD 1.78589,8.086,1.328,7.293,3.153,3.248,3.115,-105.47M,0.392,323.63M,227.96M,107.68M,47.144,28.96,-3.31M,-,323.13M,63.43M,19.631,52.76M,16.329,59.13,-,69.51M,Technology Equipment / Semiconductors / 
ComfortDelGro,1.45,1.520 - 1.430,1.46,20-Mar-20,"3,162.93M",2.17B,-,241.19M,0.12,-,SGD 2.15719,SGD 2.15325,11.938,0.81,4.101,1.219,6.705,4.155,243.70M,22.478,"3,406.63M","5,379.00M",594.20M,10.179,6.052,-506.70M,-,"3,905.70M",415.80M,10.646,265.10M,8.147,-0.955,-1.558,868.80M,"Transportation / Passenger Transportation, Ground & Sea / "
HongkongLand USD,USD 3.850,USD 4.080 - 3.820,USD 3.900,20-Mar-20,"9,102.21M",2.33B,-,52.08M,0.08,-,USD 5.30808,USD 5.28321,45.969,3.924,42.179,0.238,5.641,3.146,"3,591.20M",11.243,"12,693.41M","45,259.20M","1,424.00M",0.517,0.448,-143.70M,-,"2,319.70M",350.60M,15.114,198.00M,8.717,4.502,-31.54,"1,218.40M",Real Estate / Real Estate Development & Operations / 
SPH,1.82,1.830 - 1.760,1.81,20-Mar-20,"2,897.18M",1.61B,-,141.31M,0.14,-,SGD 2.0619,SGD 2.06023,13.912,3.053,10.016,0.75,6.077,4.024,"1,130.61M",45.233,"4,356.02M","7,107.39M",598.17M,6.032,3.526,-25.79M,-,948.92M,186.92M,17.496,203.61M,26.417,-4.572,-11.968,287.03M,Cyclical Consumer Services / Consumer Publishing / 
YZJ Shipbldg SGD,0.825,0.840 - 0.810,0.835,20-Mar-20,"3,318.35M",3.92B,-,705.13M,0.17,-,SGD 1.00934,SGD 1.00805,5.187,0.688,4.327,0.515,5.988,3.337,"-3,372.16M",7.238,-53.80M,"45,756.12M","21,534.46M",10.355,7.271,-580.31M,-,"4,822.18M","4,186.49M",17.741,634.53M,13.969,8.39,-2.796,"1,027.84M",Industrial Goods / Shipbuilding / 
UOL,6.32,6.500 - 6.230,6.45,20-Mar-20,"5,440.65M",843.51M,-,34.56M,0.54,-,SGD 7.63923,SGD 7.62948,11.362,2.383,6.258,0.541,2.713,2.317,"4,234.21M",32.432,"9,674.85M","20,653.77M",717.38M,4.869,3.289,-330.11M,-,"2,283.34M",784.55M,34.36,478.82M,29.727,9.194,-8.376,821.36M,Real Estate / Real Estate Development & Operations / 
Ascott Trust,0.735,0.780 - 0.730,0.745,20-Mar-20,"2,296.90M",3.08B,-,233.12M,0.14,-,SGD 1.15186,SGD 1.15411,8.254,4.46,10.038,0.54,9.612,6.237,"2,365.54M",53.701,"4,662.44M","7,422.79M",275.50M,5.386,3.398,-9.79M,-,514.96M,30.41M,5.905,196.52M,42.008,1.01,3.427,234.91M,Real Estate / Specialized REITs / 
Sembcorp Ind,1.59,1.630 - 1.520,1.61,20-Mar-20,"2,877.95M",1.79B,-,100.52M,0.14,-,SGD 2.03542,SGD 2.03421,11.719,0.299,3.205,0.418,3.106,2.398,"9,309.00M",125.557,"12,186.95M","23,252.00M","1,995.00M",3.617,0.932,-934.00M,-,"9,619.00M",397.00M,4.179,247.00M,2.256,-2.442,-20.761,"1,349.00M",Utilities / Multiline Utilities / 
JSH USD,USD 19.800,USD 22.820 - 18.890,USD 22.130,20-Mar-20,"24,523.01M",1.11B,-,6.89M,3.91,-,USD 29.75162,USD 29.68935,5.731,0.751,6.765,0.686,1.604,0.955,"12,900.00M",32.203,"37,423.01M","94,925.00M","5,631.00M",6.503,3.983,"-1,233.00M",-,"32,665.00M","2,859.00M",8.752,"2,178.00M",11.177,1.715,5.018,"4,922.00M",Industrial Conglomerates / Industrial Conglomerates / 
SATS,2.85,2.970 - 2.750,2.96,20-Mar-20,"3,327.21M",1.12B,-,69.31M,0.23,-,SGD 4.45469,SGD 4.44631,14.758,1.681,9.644,2.045,6.419,3.747,86.90M,5.796,"3,073.08M","2,408.43M",349.86M,15.132,9.561,-87.64M,-,"1,979.62M",235.43M,11.898,224.61M,11.928,0.572,6.729,345.60M,Transportation / Airport Services / 
Frasers L&I Tr,0.695,0.765 - 0.670,0.71,20-Mar-20,"1,606.07M",2.26B,-,228.89M,0.09,-,SGD 1.18643,SGD 1.18661,7.951,7.843,-,0.85,9.859,-,"1,174.70M",44.496,"2,529.26M","3,718.89M",128.38M,10.647,6.546,-,-,204.78M,272.43M,112.294,191.20M,94.331,10.646,24.509,150.67M,Real Estate / Commercial REITs / 
