name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita
DBS,26.550,27.4,-,11 May 2019,"70,251.86M",2.55B,99.45%,2.12,73.36M,SGD 24.39043,SGD 24.38836,12.359682944606416,4.818534857260793,11.524673833819241,1.425,4.38,3.838,"27,126.00M",35.56M,"97,377.86M","550,751.00M",-,11.38,1.058,-533.00M,-,"13,798.00M",-,48.784,"5,491.00M",41.413999999999994,7.196000000000001,7.7,-
OCBC Bank,11.390,11.77,-,11 May 2019,"50,102.18M",4.25B,72.29%,1.05,105.76M,SGD 11.23421,SGD 11.23019,10.74482538330494,2.2289121540243033,9.54082282793867,1.187,3.653,3.617,"-27,510.92M",71.84M,"40,324.64M","467,542.99M",-,11.022,1.016,-297.20M,-,"11,049.28M",-,26.241999999999997,"4,472.99M",22.092,2.309,7.0489999999999995,-
Genting Sing,0.935,0.96,-,11 May 2019,"11,610.27M",12.05B,47.02%,0.06,758.21M,SGD 0.99765,SGD 0.99752,14.839854922279793,4.292149265752101,10.50494300518135,1.4869999999999999,3.6460000000000004,2.480,"-3,175.67M",10.69M,"8,434.60M","9,767.14M","4,214.24M",9.924,7.797999999999999,-122.10M,-,"2,539.24M",975.19M,38.405,755.39M,29.749000000000002,-1.926,5.452999999999999,-
UOB,25.610,26.8,-,11 May 2019,"45,038.51M",1.67B,76.31%,2.33,46.51M,SGD 25.13615,SGD 25.12503,10.916096139569412,4.2591350782816875,9.974020786933927,1.187,3.7310000000000003,3.383,"-44,808.72M",81.35M,229.79M,"388,092.36M",-,10.465,1.077,-516.47M,-,"11,139.96M",-,50.488,"3,896.94M",42.06100000000001,5.504,4.865,-
SingTel,3.170,3.15,-,11 May 2019,"51,436.85M",16.32B,94.80%,0.23,343.48M,SGD 3.03567,SGD 3.03525,16.811127795527156,3.0402412599904047,9.777373801916932,1.778,5.556,4.565,"10,003.30M",29.02M,"61,342.15M","48,253.70M",524.90M,18.847,6.32,"-3,473.40M",-,"17,356.10M","4,689.40M",14.876,"3,102.10M",17.764,-1.179,8.718,-
YZJ Shipbldg SGD,1.490,1.6,-,11 May 2019,"6,355.39M",3.95B,61.14%,0.2,458.14M,SGD 1.34882,SGD 1.34834,8.091631249999999,1.1733575390625,7.0784312499999995,1.081,2.813,-,"-2,945.74M",10.02M,"3,415.33M","44,911.48M","18,615.42M",13.199000000000002,8.209,-493.01M,-,"4,697.82M","4,565.00M",19.644000000000002,730.61M,15.594000000000001,9.434,2.484,-
Keppel Corp,6.530,6.74,-,11 May 2019,"12,288.60M",1.82B,99.05%,0.31,60.20M,SGD 6.17726,SGD 6.17659,14.62181443298969,1.885836511286415,11.127927835051546,1.062,3.7089999999999996,4.356,"8,598.94M",53.80M,"17,879.47M","26,606.33M","1,957.64M",8.308,2.9530000000000003,-254.51M,-,"6,025.53M","1,042.57M",14.872,809.10M,14.245999999999999,-13.776,-12.743,-
CapitaLand,3.400,3.64,-,11 May 2019,"15,558.76M",4.16B,99.52%,0.39,164.05M,SGD 3.31305,SGD 3.31373,8.706594005449592,2.383425521015079,4.928610354223434,0.8,3.2969999999999997,3.186,"18,574.11M",107.85M,"34,132.87M","64,647.56M","5,059.84M",9.434,4.5169999999999995,-89.35M,-,"5,602.42M","3,185.59M",56.861000000000004,"1,762.49M",50.867,9.327,15.876,-
UOL,7.260,7.67,-,11 May 2019,"6,483.68M",843.09M,54.63%,0.55,30.36M,SGD 6.43849,SGD 6.43883,13.819961685823753,2.3255034424039573,7.627172413793104,0.67,2.282,2.336,"4,032.64M",29.71M,"10,516.33M","20,663.71M",677.17M,4.542,3.037,-310.08M,-,"2,397.34M",710.09M,29.62,433.72M,25.52,15.689,-12.769,-
SGX,7.380,7.33,-,11 May 2019,"7,855.14M",1.07B,76.42%,0.34,65.14M,SGD 7.37965,SGD 7.37971,21.375751025991796,9.222115596010939,18.307649794801645,8.202,4.775,3.847,-703.74M,-,"7,283.54M","2,114.94M",571.60M,34.123000000000005,20.971,-78.57M,-,868.19M,424.90M,50.214,371.73M,42.817,3.362,1.5519999999999998,-
