names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
DBS,25.970,25.660,-,20 Dec 2019,"65,790.61M",2.55B,99.45%,79.49M,2.11,-,SGD 25.40578,SGD 25.42711,-,-,-,-,-,-,-,35.561,"92,916.61M","550,751.00M",-,-,-,-,-,-,-,-,"6,116.00M",-,-,-,-,Banking & Investment Services / Banks / 
UOB,26.420,26.240,-,20 Dec 2019,"44,097.41M",1.67B,73.50%,46.69M,2.33,-,SGD 25.94465,SGD 25.95218,-,-,-,-,-,-,-,81.348,-711.31M,"388,092.36M",-,-,-,-,-,-,-,-,"4,142.94M",-,-,-,-,Banking & Investment Services / Banks / 
SingTel,3.330,3.380,-,20 Dec 2019,"55,192.36M",16.32B,94.87%,486.11M,0.19,-,SGD 3.28951,SGD 3.28787,-,-,-,-,-,-,-,29.439,"65,343.76M","48,914.80M",512.70M,-,-,-,-,"16,961.20","2,537.90M",-,"1,468.80M",-,-,-,-,Telecommunications Services / Integrated Telecommunications Services / 
YZJ Shipbldg SGD,1.070,1.070,-,20 Dec 2019,"4,252.26M",3.92B,62.88%,729.43M,0.2,-,SGD 1.05684,SGD 1.0568,-,-,-,-,-,-,-,10.024,"1,435.15M","44,911.48M","18,615.42M",-,-,-,-,"16,014.35","4,565.00M",-,718.28M,-,-,-,-,Industrial Goods / Shipbuilding / 
HongkongLand USD,5.680,USD 5.520,-,20 Dec 2019,"12,883.28M",2.33B,49.43%,60.64M,1.05,-,USD 5.68457,USD 5.67156,-,-,-,-,-,-,-,10.811,"16,535.48M","44,963.00M","1,286.80M",-,-,-,-,"1,932.10","2,331.80M",-,"1,743.60M",-,-,-,-,Real Estate / Real Estate Development & Operations / 
ThaiBev,0.880,0.895,-,20 Dec 2019,"22,476.61M",25.11B,28.48%,251.19M,0.04,-,SGD 0.88579,SGD 0.8849,-,-,-,-,-,-,-,170.878,"31,247.52M","407,240.47M","24,362.48M",-,-,-,-,"139,152.66","31,708.20M",-,"1,043.71M",-,-,-,-,Food & Beverages / Distillers & Wineries / 
SPH,2.160,2.120,-,20 Dec 2019,"3,393.38M",1.62B,94.06%,118.78M,0.14,-,SGD 2.15674,SGD 2.15701,-,-,-,-,-,-,-,45.233,"4,852.22M","7,107.39M",598.17M,-,-,-,-,"1,124.35",186.92M,-,213.21M,-,-,-,-,Cyclical Consumer Services / Consumer Publishing / 
OCBC Bank,10.960,10.890,-,20 Dec 2019,"48,009.59M",4.40B,73.12%,95.77M,1.05,-,SGD 10.96292,SGD 10.9682,-,-,-,-,-,-,-,71.842,"38,232.05M","467,542.99M",-,-,-,-,-,-,-,-,"4,532.99M",-,-,-,-,Banking & Investment Services / Banks / 
Keppel Corp,6.740,6.720,-,20 Dec 2019,"12,219.61M",1.82B,99.29%,82.30M,0.31,-,SGD 6.38854,SGD 6.3903,-,-,-,-,-,-,-,53.997,"17,650.13M","26,556.97M","2,117.99M",-,-,-,-,"10,296.47","1,042.57M",-,650.10M,-,-,-,-,Industrial Conglomerates / Industrial Conglomerates / 
ComfortDelGro,2.340,2.400,-,20 Dec 2019,"5,198.78M",2.17B,98.50%,144.04M,0.13,-,SGD 2.47937,SGD 2.48076,-,-,-,-,-,-,-,18.346,"5,182.58M","5,136.70M",586.10M,-,-,-,-,"4,111.50",438.80M,-,299.80M,-,-,-,-,"Transportation / Passenger Transportation, Ground & Sea / "
Wilmar Intl,4.060,4.080,-,20 Dec 2019,"26,125.88M",6.34B,28.21%,114.06M,0.27,-,SGD 3.86515,SGD 3.86658,-,-,-,-,-,-,-,34.423,"52,738.33M","45,712.93M","3,695.72M",-,-,-,-,"38,776.64","1,335.15M",-,"1,392.75M",-,-,-,-,Food & Beverages / Food Processing / 
CapitaLand,3.730,3.670,-,20 Dec 2019,"18,851.50M",5.04B,99.60%,127.39M,0.39,-,SGD 3.57093,SGD 3.56987,-,-,-,-,-,-,-,107.850,"37,425.61M","64,647.56M","5,059.84M",-,-,-,-,"4,761.85","3,185.59M",-,"1,684.95M",-,-,-,-,Real Estate / Real Estate Development & Operations / 
ST Engineering,3.910,3.940,-,20 Dec 2019,"12,302.63M",3.12B,98.75%,96.35M,0.16,-,SGD 4.05178,SGD 4.05166,-,-,-,-,-,-,-,12.036,"12,383.59M","7,573.02M",414.82M,-,-,-,-,"6,335.02",562.60M,-,532.88M,-,-,-,-,Industrial Goods / Aerospace & Defense / 
Venture,16.030,16.260,-,20 Dec 2019,"4,710.68M",288.44M,91.38%,25.13M,1.27,-,SGD 15.60652,SGD 15.61046,-,-,-,-,-,-,-,-,"3,999.65M","3,204.60M",712.83M,-,-,-,-,"2,656.50",432.97M,-,374.57M,-,-,-,-,Technology Equipment / Electronic Equipment & Parts / 
SGX,9.050,8.980,-,20 Dec 2019,"9,623.35M",1.07B,76.42%,62.21M,0.36,-,SGD 8.46533,SGD 8.47128,-,-,-,-,-,-,-,-,"9,153.06M","2,132.29M",470.29M,-,-,-,-,818.11,461.02M,-,414.24M,-,-,-,-,Banking & Investment Services / Financial & Commodity Market Operators / 
JMH USD,55.220,USD 54.890,-,20 Dec 2019,"40,545.11M",379.98M,64.02%,6.33M,4.53,-,USD 56.41332,USD 56.41389,-,-,-,-,-,-,-,41.391,"54,312.11M","90,308.00M","5,038.00M",-,-,-,-,"37,007.00","4,491.00M",-,"1,559.00M",-,-,-,-,Industrial Conglomerates / Industrial Conglomerates / 
HPL,3.710,3.720,-,20 Dec 2019,"1,938.64M",521.14M,10.26%,5.01M,0.22,-,SGD 3.51815,SGD 3.57611,-,-,-,-,-,-,-,28.684,"2,508.65M","3,154.93M",142.39M,-,-,-,-,579.54,85.26M,-,24.61M,-,-,-,-,"Cyclical Consumer Services / Hotels, Motels & Cruise Lines / "
Sembcorp Ind,2.280,2.240,-,20 Dec 2019,"4,004.11M",1.79B,99.46%,77.58M,0.18,-,SGD 2.23973,SGD 2.23842,-,-,-,-,-,-,-,130.672,"12,812.11M","23,321.00M","1,924.00M",-,-,-,-,"9,544.62",415.00M,-,368.10M,-,-,-,-,Utilities / Multiline Utilities / 
Genting Sing,0.930,0.935,-,20 Dec 2019,"11,307.92M",12.06B,47.06%,377.72M,0.06,-,SGD 0.91181,SGD 0.91179,-,-,-,-,-,-,-,10.695,"8,132.25M","9,767.14M","4,214.24M",-,-,-,-,"2,400.90",975.19M,-,682.93M,-,-,-,-,Cyclical Consumer Services / Casinos & Gaming / 
SIA,9.000,9.120,-,20 Dec 2019,"10,942.64M",1.19B,99.64%,22.31M,0.62,-,SGD 9.16758,SGD 9.16863,-,-,-,-,-,-,-,48.343,"14,536.24M","30,505.20M","3,060.80M",-,-,-,-,"15,238.70",997.60M,-,692.30M,-,-,-,-,Transportation / Airlines / 
Jardine C&C,30.500,30.830,-,20 Dec 2019,"12,185.13M",395.24M,23.99%,6.27M,1.58,-,SGD 31.74647,SGD 31.77407,-,-,-,-,-,-,-,46.777,"19,671.58M","27,319.90M","1,949.30M",-,-,-,-,"15,718.30","1,719.90M",-,"1,047.76M",-,-,-,-,Automobiles & Auto Parts / Auto & Truck Manufacturers / 
CityDev,10.990,10.750,-,20 Dec 2019,"9,774.99M",906.90M,42.19%,31.34M,0.62,-,SGD 9.95509,SGD 9.98525,-,-,-,-,-,-,-,50.483,"14,711.91M","20,885.69M","1,953.60M",-,-,-,-,"3,905.45",904.58M,-,568.29M,-,-,-,-,Real Estate / Real Estate Development & Operations / 
Rex Intl,0.188,0.184,-,20 Dec 2019,241.76M,1.31B,47.62%,"1,567.32M",-0.02,-,SGD 0.12924,SGD 0.12924,-,-,-,-,-,-,-,-,231.31M,208.90M,34.12M,-,-,-,-,0.35,14.04M,-,41.67M,-,-,-,-,Energy - Fossil Fuels / Oil & Gas Exploration and Productio / 
SATS,5.060,5.140,-,20 Dec 2019,"5,777.65M",1.12B,99.03%,35.46M,0.23,-,SGD 4.95262,SGD 4.95238,-,-,-,-,-,-,-,5.796,"5,523.52M","2,408.43M",349.86M,-,-,-,-,"1,698.15",235.43M,-,234.21M,-,-,-,-,Transportation / Airport Services / 
Sembcorp Marine,1.260,1.280,-,20 Dec 2019,"2,676.36M",2.09B,99.07%,91.53M,-0.04,-,SGD 1.32388,SGD 1.32385,-,-,-,-,-,-,-,137.279,"6,068.06M","8,577.26M",837.72M,-,-,-,-,"4,968.13",-52.32M,-,-53.52M,-,-,-,-,Industrial Goods / Shipbuilding / 
JSH USD,31.280,USD 30.920,-,20 Dec 2019,"34,263.51M",1.11B,15.75%,7.15M,3.18,-,USD 32.35491,USD 32.23383,-,-,-,-,-,-,-,32.685,"47,499.51M","88,533.00M","4,640.00M",-,-,-,-,"29,391.00","4,210.00M",-,"2,522.00M",-,-,-,-,Industrial Conglomerates / Industrial Conglomerates / 
Raffles Medical,0.975,0.980,-,20 Dec 2019,"1,791.69M",1.83B,45.64%,24.09M,0.04,-,SGD 1.00409,SGD 1.00402,-,-,-,-,-,-,-,12.141,"1,802.21M","1,116.29M",105.98M,-,-,-,-,410.54,84.24M,-,63.47M,-,-,-,-,Healthcare Services / Healthcare Facilities & Services / 
AEM,1.860,1.900,-,20 Dec 2019,519.28M,269.71M,79.10%,160.18M,0.12,-,SGD 1.34674,SGD 1.34649,-,-,-,-,-,-,-,0.055,460.65M,136.43M,58.89M,-,-,-,-,46.80,39.75M,-,40.41M,-,-,-,-,Technology Equipment / Semiconductors / 
Golden Agri-Res,0.210,0.220,-,20 Dec 2019,"2,824.26M",12.73B,49.62%,"1,268.99M",0.0,-,SGD 0.23258,SGD 0.23245,-,-,-,-,-,-,-,36.203,"6,652.22M","8,545.58M",510.60M,-,-,-,-,"6,510.05",121.09M,-,45.68M,-,-,-,-,Food & Beverages / Food Processing / 
BreadTalk,0.610,0.620,-,20 Dec 2019,349.55M,563.27M,31.89%,35.86M,0.03,-,SGD 0.61885,SGD 0.62975,-,-,-,-,-,-,-,96.035,385.71M,608.86M,189.77M,-,-,-,-,624.15,32.94M,-,11.73M,-,-,-,-,Cyclical Consumer Services / Restaurants & Bars / 
UOL,8.280,8.030,-,20 Dec 2019,"6,771.78M",843.31M,54.41%,21.44M,0.55,-,SGD 7.55762,SGD 7.55791,-,-,-,-,-,-,-,29.796,"10,804.43M","20,620.36M",677.17M,-,-,-,-,"1,278.75",710.09M,-,482.22M,-,-,-,-,Real Estate / Real Estate Development & Operations / 
Yoma Strategic,0.335,0.345,-,20 Dec 2019,769.77M,2.23B,55.28%,81.03M,0.02,-,SGD 0.35155,SGD 0.35302,-,-,-,-,-,-,-,46.709,"1,168.55M","1,201.88M",80.73M,-,-,-,-,82.22,56.34M,-,-41.40M,-,-,-,-,Real Estate / Real Estate Development & Operations / 
SIA Engineering,2.810,2.830,-,20 Dec 2019,"3,181.25M",1.12B,99.39%,10.28M,0.14,-,SGD 2.67937,SGD 2.67973,-,-,-,-,-,-,-,0.822,"2,678.96M","1,845.28M",521.58M,-,-,-,-,"1,112.67",56.97M,-,169.97M,-,-,-,-,Transportation / Airport Services / 
Yanlord Land,1.190,1.160,-,20 Dec 2019,"2,260.53M",1.93B,27.40%,32.31M,0.36,-,SGD 1.19234,SGD 1.19276,-,-,-,-,-,-,-,133.593,"8,345.63M","106,680.78M","10,317.37M",-,-,-,-,"16,581.36","10,541.66M",-,291.35M,-,-,-,-,Real Estate / Real Estate Development & Operations / 
Chip Eng Seng,0.610,0.610,-,20 Dec 2019,502.65M,782.52M,63.03%,11.95M,0.11,-,SGD 0.64036,SGD 0.64037,-,-,-,-,-,-,-,205.709,"2,106.45M","3,086.54M",207.33M,-,-,-,-,676.45,98.04M,-,51.61M,-,-,-,-,Real Estate / Real Estate Development & Operations / 
SingPost,0.925,0.930,-,20 Dec 2019,"2,115.83M",2.25B,83.56%,67.06M,0.02,-,SGD 0.94934,SGD 0.94938,-,-,-,-,-,-,-,0.560,"2,007.26M","2,619.24M",399.45M,-,-,-,-,"1,151.54",70.96M,-,11.05M,-,-,-,-,Transportation / Air Freight & Logistics / 
Hi-P,1.460,1.520,-,20 Dec 2019,"1,348.51M",804.20M,14.67%,80.69M,0.12,-,SGD 1.35901,SGD 1.35901,-,-,-,-,-,-,-,-,"1,230.98M","1,224.68M",286.65M,-,-,-,-,"1,362.58",124.49M,-,102.68M,-,-,-,-,Industrial Goods / Industrial Machinery & Equipment / 
StarHub,1.400,1.410,-,20 Dec 2019,"2,441.63M",1.73B,88.80%,45.43M,0.11,-,SGD 1.39973,SGD 1.40118,-,-,-,-,-,-,-,192.561,"3,304.13M","2,653.50M",166.00M,-,-,-,-,"2,444.30",273.50M,-,171.50M,-,-,-,-,Telecommunications Services / Wireless Telecommunications Services / 
Sheng Siong,1.220,1.230,-,20 Dec 2019,"1,849.35M",1.50B,41.31%,24.89M,0.05,-,SGD 1.16089,SGD 1.16038,-,-,-,-,-,-,-,-,"1,762.12M",436.34M,87.23M,-,-,-,-,764.43,83.79M,-,75.87M,-,-,-,-,Food & Drug Retailing / Food Retail & Distribution / 
DairyFarm USD,5.730,USD 5.870,-,20 Dec 2019,"7,940.37M",1.35B,22.21%,28.14M,0.05,-,USD 6.08283,USD 6.33063,-,-,-,-,-,-,-,278.607,"12,406.37M","8,664.10M",296.20M,-,-,-,-,"11,137.30",201.30M,-,65.00M,-,-,-,-,Food & Drug Retailing / Food Retail & Distribution / 
MM2 Asia,0.300,0.280,-,20 Dec 2019,325.59M,1.16B,48.90%,25.64M,0.02,-,SGD 0.23008,SGD 0.23008,-,-,-,-,-,-,-,86.930,530.01M,665.72M,18.57M,-,-,-,-,95.72,57.68M,-,19.14M,-,-,-,-,Cyclical Consumer Services / Entertainment Production / 
Synagie,0.106,0.108,-,20 Dec 2019,32.88M,304.48M,17.94%,139.05M,-0.04,-,SGD 0.14597,SGD 0.14597,-,-,-,-,-,-,-,-,25.35M,22.76M,7.53M,-,-,-,-,0.19,-6.83M,-,-7.70M,-,-,-,-,Telecommunications Services / Integrated Telecommunications Services / 
Frencken,0.895,0.910,-,20 Dec 2019,386.09M,424.27M,62.59%,56.61M,0.08,-,SGD 0.75379,SGD 0.75379,-,-,-,-,-,-,-,0.457,387.71M,463.74M,67.08M,-,-,-,-,439.38,40.16M,-,42.15M,-,-,-,-,Industrial Goods / Industrial Machinery & Equipment / 
TEE Intl,0.054,0.058,-,20 Dec 2019,37.59M,725.60M,23.90%,389.85M,-0.03,-,SGD 0.05652,SGD 0.05652,-,-,-,-,-,-,-,205.474,285.27M,653.19M,61.04M,-,-,-,-,261.71,-13.86M,-,-18.17M,-,-,-,-,Industrial & Commercial Services / Construction & Engineering / 
