name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita
DBS,25.960,27.4,-,30 Jun 2019,"70,251.86M",2.55B,99.45%,2.12,73.36M,SGD 24.39043,SGD 24.38836,12.085023323615161,4.606757275879947,11.26856997084548,1.425,4.38,3.838,"27,126.00M",35.56M,"97,377.86M","550,751.00M",-,11.38,1.058,-533.00M,-,"13,798.00M",-,48.784,"5,491.00M",41.413999999999994,7.196000000000001,7.7,-
OCBC Bank,11.400,11.77,-,30 Jun 2019,"50,102.18M",4.25B,72.29%,1.05,105.76M,SGD 11.23421,SGD 11.23019,10.754258943781942,2.232827677475339,9.549199318568995,1.187,3.653,3.617,"-27,510.92M",71.84M,"40,324.64M","467,542.99M",-,11.022,1.016,-297.20M,-,"11,049.28M",-,26.241999999999997,"4,472.99M",22.092,2.309,7.0489999999999995,-
Genting Sing,0.920,0.96,-,30 Jun 2019,"11,610.27M",12.05B,47.02%,0.06,758.21M,SGD 0.99765,SGD 0.99752,14.601782383419689,4.155537920481087,10.336414507772021,1.4869999999999999,3.6460000000000004,2.480,"-3,175.67M",10.69M,"8,434.60M","9,767.14M","4,214.24M",9.924,7.797999999999999,-122.10M,-,"2,539.24M",975.19M,38.405,755.39M,29.749000000000002,-1.926,5.452999999999999,-
UOB,26.130,26.8,-,30 Jun 2019,"45,038.51M",1.67B,76.31%,2.33,46.51M,SGD 25.13615,SGD 25.12503,11.137742761692648,4.4338508154721445,10.176538975501114,1.187,3.7310000000000003,3.383,"-44,808.72M",81.35M,229.79M,"388,092.36M",-,10.465,1.077,-516.47M,-,"11,139.96M",-,50.488,"3,896.94M",42.06100000000001,5.504,4.865,-
SingTel,3.500,3.15,-,30 Jun 2019,"51,436.85M",16.32B,94.80%,0.23,343.48M,SGD 3.03567,SGD 3.03525,18.5611821086262,3.706172360644694,10.79520766773163,1.778,5.556,4.565,"10,003.30M",29.02M,"61,342.15M","48,253.70M",524.90M,18.847,6.32,"-3,473.40M",-,"17,356.10M","4,689.40M",14.876,"3,102.10M",17.764,-1.179,8.718,-
YZJ Shipbldg SGD,1.530,1.6,-,30 Jun 2019,"6,355.39M",3.95B,61.14%,0.2,458.14M,SGD 1.34882,SGD 1.34834,8.30885625,1.2372022265625,7.26845625,1.081,2.813,-,"-2,945.74M",10.02M,"3,415.33M","44,911.48M","18,615.42M",13.199000000000002,8.209,-493.01M,-,"4,697.82M","4,565.00M",19.644000000000002,730.61M,15.594000000000001,9.434,2.484,-
Keppel Corp,6.660,6.74,-,30 Jun 2019,"12,288.60M",1.82B,99.05%,0.31,60.20M,SGD 6.17726,SGD 6.17659,14.912907216494848,1.9616708362163022,11.349463917525775,1.062,3.7089999999999996,4.356,"8,598.94M",53.80M,"17,879.47M","26,606.33M","1,957.64M",8.308,2.9530000000000003,-254.51M,-,"6,025.53M","1,042.57M",14.872,809.10M,14.245999999999999,-13.776,-12.743,-
CapitaLand,3.530,3.64,-,30 Jun 2019,"15,558.76M",4.16B,99.52%,0.39,164.05M,SGD 3.31305,SGD 3.31373,9.0394931880109,2.56917189228519,5.117057220708447,0.8,3.2969999999999997,3.186,"18,574.11M",107.85M,"34,132.87M","64,647.56M","5,059.84M",9.434,4.5169999999999995,-89.35M,-,"5,602.42M","3,185.59M",56.861000000000004,"1,762.49M",50.867,9.327,15.876,-
UOL,7.550,7.67,-,30 Jun 2019,"6,483.68M",843.09M,54.63%,0.55,30.36M,SGD 6.43849,SGD 6.43883,14.371998722860791,2.514998026387686,7.9318390804597705,0.67,2.282,2.336,"4,032.64M",29.71M,"10,516.33M","20,663.71M",677.17M,4.542,3.037,-310.08M,-,"2,397.34M",710.09M,29.62,433.72M,25.52,15.689,-12.769,-
SGX,7.920,7.33,-,30 Jun 2019,"7,855.14M",1.07B,76.42%,0.34,65.14M,SGD 7.37965,SGD 7.37971,22.93983036935705,10.621068289040556,19.647233926128592,8.202,4.775,3.847,-703.74M,-,"7,283.54M","2,114.94M",571.60M,34.123000000000005,20.971,-78.57M,-,868.19M,424.90M,50.214,371.73M,42.817,3.362,1.5519999999999998,-
Jardine C&C,36.230,36.2,-,30 Jun 2019,"14,345.64M",395.24M,24.00%,1.58,7.83M,SGD 34.66415,SGD 34.63787,25.370057499999998,0.5641399577932098,4.640459166666667,1.7209999999999999,3.241,2.811,"7,365.52M",45.61M,"21,711.16M","27,230.80M","1,949.30M",6.684,5.996,-981.90M,-,"25,754.78M","1,719.90M",9.056000000000001,569.02M,8.317,-2.344,-15.755,-
ComfortDelGro,2.660,2.61,-,30 Jun 2019,"5,668.98M",2.17B,98.47%,0.13,161.57M,SGD 2.28661,SGD 2.28765,19.015432950191574,1.547634943703117,7.672214559386974,2.1630000000000003,4.023,3.955,-16.20M,18.35M,"5,652.78M","5,136.70M",586.10M,11.594000000000001,7.202000000000001,-368.20M,-,"3,805.20M",438.80M,11.532,303.30M,9.429,-0.07200000000000001,2.49,-
JMH USD,63.020,63.6,-,30 Jun 2019,"46,855.64M",386.44M,95.55%,6.07,5.01M,USD 65.19024,USD 65.09844,13.61046676051932,1.070850844041376,8.227200375410606,0.9129999999999999,2.673,2.608,"9,193.00M",26.85M,"56,048.64M","86,258.00M","5,038.00M",6.6610000000000005,5.332000000000001,"-1,591.00M",-,"42,527.00M","4,348.00M",10.224,"1,732.00M",10.589,1.125,1.666,-
