names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
DBS,17.920,18.820 - 18.300,18.3,apr_05_2020,"46,920.04M",2.55B,-,170.46M,2.46,-,SGD 23.16741,SGD 22.99833,7.1305466234005515,2.8719134008051554,6.487116827927275,0.917,6.2969689174038574,4.073774919369697,"34,304.00M",38.234,"81,224.04M","578,946.00M",-,12.595,1.138,-586.00M,-,"15,592.00M",-,50.332,"6,299.00M",42.672,9.319,8.918,"10,029.00M",Banking & Investment Services / Banks / 
Singtel,2.580,2.540 - 2.410,2.42,apr_05_2020,"39,516.56M",16.32B,-,736.97M,0.19,-,SGD 3.07881,SGD 3.06762,31.55827558571429,2.400868435739796,10.767944882857144,1.467,7.344874015619047,4.8268346455,"12,502.70M",29.439,"49,667.96M","48,914.80M",512.70M,10.393,2.555,"-2,057.90M",-,"16,985.10M","2,537.90M",13.706,"1,273.20M",7.345,0.151,-3.703,"4,667.50M",Telecommunications Services / Integrated Telecommunications Services / 
OCBC Bank,8.380,8.800 - 8.500,8.52,apr_05_2020,"37,561.22M",4.40B,-,166.65M,1.1,-,SGD 10.2078,SGD 10.17358,7.292890660661956,1.1988225254133447,6.488296127085984,0.795,5.937583143465254,3.737594532588928,"-29,626.00M",62.313,"7,935.22M","491,691.00M",-,10.905,1.047,-368.00M,-,"12,098.00M",-,20.327,"4,869.00M",17.6,6.146,1.731,"7,070.00M",Banking & Investment Services / Banks / 
UOB,18.800,19.910 - 19.200,19.21,apr_05_2020,"32,283.20M",1.67B,-,83.75M,2.6,-,SGD 24.10881,SGD 24.01921,6.961948769072814,2.776462337232503,6.39823204440021,0.809,5.406770466610792,3.476725263488738,"-52,849.00M",63.6,"-20,565.80M","404,409.00M",-,11.245,1.101,-573.00M,-,"12,557.00M",-,49.923,"4,345.00M",42.099,4.871,5.729,"5,575.00M",Banking & Investment Services / Banks / 
CapitaMall Trust,1.520,1.810 - 1.720,1.75,apr_05_2020,"6,457.77M",3.69B,-,428.53M,0.19,-,SGD 2.32223,SGD 2.31997,9.510977773872831,5.853013333076014,7.805199999999999,0.831,4.793911111306358,3.7468000000000004,"3,370.00M",42.609,"9,827.77M","11,731.66M",202.20M,9.172,5.999,-0.97M,-,786.74M,374.79M,47.639,696.93M,88.585,2.539,1.235,505.73M,Real Estate / Commercial REITs / 
Ascendas Reit,2.520,2.770 - 2.670,2.71,apr_05_2020,"9,805.29M",3.62B,-,439.25M,-,-,SGD 3.00821,SGD 3.00729,15.645387455231319,9.174404486913792,-,1.207,-,-,"5,133.58M",56.895,"14,938.87M","11,413.82M",52.34M,-,4.234,-,-,924.12M,587.53M,68.777,517.65M,57.558,-,-,635.58M,Real Estate / Commercial REITs / 
Genting Sing,0.650,0.650 - 0.620,0.64,apr_05_2020,"7,740.18M",12.06B,-,794.62M,0.06,-,SGD 0.81877,SGD 0.81844,11.201000000729925,3.121000000394266,7.176999999854014,0.958,5.468999999635036,3.1760000003649633,"-3,686.61M",3.185,"4,053.57M","9,250.08M","3,947.25M",8.695,7.242,-247.25M,-,"2,480.34M",863.41M,34.81,688.60M,27.762,-2.495,6.245,"1,159.84M",Cyclical Consumer Services / Casinos & Gaming / 
SIA,5.500,5.940 - 5.800,5.8,apr_05_2020,"6,959.14M",1.19B,-,63.89M,0.62,-,SGD 7.82367,SGD 7.80072,8.885472972571943,0.3564774132258942,2.3932432428956836,0.566,4.805067567086331,2.7044763516187054,"6,418.90M",48.343,"10,552.74M","30,505.20M","3,060.80M",5.222,2.546,"-5,667.70M",-,"16,870.20M",997.60M,6.03,723.00M,4.539,1.261,13.663,"3,051.70M",Transportation / Airlines / 
Mapletree Log Tr,1.500,1.640 - 1.540,1.57,apr_05_2020,"5,966.43M",3.80B,-,426.41M,0.13,-,SGD 1.67953,SGD 1.67829,11.254807692307693,11.395155325443788,11.302884615384617,1.219,-,5.513461538461539,"2,937.51M",63.541,"8,855.80M","8,078.34M",104.30M,10.368,6.182,-,-,484.09M,332.30M,82.416,487.29M,104.361,1.048,1.565,373.83M,Real Estate / Commercial REITs / 
CapitaLand,2.620,2.880 - 2.740,2.76,apr_05_2020,"14,177.15M",5.04B,-,233.98M,0.46,-,SGD 3.50786,SGD 3.49905,5.722152778094204,1.8819499424300041,3.6325208333333334,0.573,-,2.9857083333333336,"25,243.46M",113.211,"39,420.60M","82,345.92M","6,167.61M",9.886,4.645,-81.47M,-,"6,234.76M","4,078.84M",65.421,"2,135.89M",54.752,10.36,12.891,"2,941.99M",Real Estate / Real Estate Development & Operations / 
