names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
DBS,26.200,26.400 - 26.260,26.380,jan_25_2020,"67,636.64M",2.55B,-,83.37M,2.11,-,SGD 25.47238,SGD 25.47885,10.959256166982922,4.507242614203054,10.045487666034155,1.336,4.549,3.838,"39,747.00M",35.561,"94,762.64M","550,751.00M",-,11.380,1.112,-533.00M,-,"15,594.00M",-,49.764,"6,116.00M",42.053,7.196,7.700,"9,762.00M",Banking & Investment Services / Banks / 
UOB,26.350,26.760 - 26.550,26.650,jan_25_2020,"44,786.43M",1.67B,-,45.28M,2.33,-,SGD 26.02749,SGD 26.02851,10.592246539468762,4.261209820979326,9.527600074822297,1.126,3.940,3.408,"-45,647.00M",81.348,-22.29M,"388,092.36M",-,10.465,1.080,-516.47M,-,"12,555.96M",-,49.815,"4,142.94M",41.803,5.504,4.865,"5,452.07M",Banking & Investment Services / Banks / 
YZJ Shipbldg SGD,1.040,1.160 - 1.130,1.140,jan_25_2020,"4,530.45M",3.92B,-,726.93M,0.20,-,SGD 1.04935,SGD 1.04909,5.601530434782609,0.796581020793951,5.090573913043478,0.751,4.386,3.443,"-3,146.72M",10.024,"1,673.89M","44,911.48M","18,615.42M",13.199,8.137,-493.01M,-,"4,653.65M","4,565.00M",19.690,728.34M,15.216,9.434,2.484,"1,012.73M",Industrial Goods / Shipbuilding / 
SingTel,,3.300 - 3.270,3.300,jan_25_2020,"53,886.03M",16.32B,-,506.79M,0.19,-,SGD 3.27599,SGD 3.27492,,,,1.953,5.303,4.752,"13,558.90M",29.439,"64,037.43M","48,914.80M",512.70M,10.393,2.995,"-2,057.90M",-,"17,232.90M","2,537.90M",14.023,"1,468.80M",8.383,0.151,-3.703,"4,697.20M",Telecommunications Services / Integrated Telecommunications Services / 
OCBC Bank,11.100,11.220 - 11.140,11.170,jan_25_2020,"49,244.00M",4.40B,-,94.70M,1.05,-,SGD 10.9409,SGD 10.94115,10.57332139659803,1.90884851914219,9.485183527305281,1.051,4.297,3.617,"-29,194.00M",71.842,"39,466.46M","467,542.99M",-,11.022,0.988,-297.20M,-,"12,138.28M",-,21.232,"4,532.99M",18.369,2.626,7.049,"6,731.75M",Banking & Investment Services / Banks / 
CapitaLand,3.890,3.920 - 3.890,3.910,jan_25_2020,"20,084.29M",5.04B,-,137.74M,0.39,-,SGD 3.61588,SGD 3.61514,10.51193112244898,3.6071482129841734,6.9752066326530615,0.871,3.069,3.186,"26,934.22M",107.850,"38,658.40M","64,647.56M","5,059.84M",9.434,3.763,-89.35M,-,"5,483.30M","3,185.59M",63.512,"1,684.95M",50.096,9.327,15.876,"2,617.16M",Real Estate / Real Estate Development & Operations / 
SGX,8.810,8.790 - 8.750,8.790,jan_25_2020,"9,419.74M",1.07B,-,65.31M,0.36,-,SGD 8.57173,SGD 8.57832,22.9200799086758,10.04469111752257,19.60526712328767,8.342,3.413,3.801,-711.33M,-,"8,949.44M","2,132.29M",470.29M,35.764,20.442,-47.35M,-,948.54M,461.02M,51.592,414.24M,43.672,5.785,4.068,558.94M,Banking & Investment Services / Financial & Commodity Market Operators / 
Wilmar Intl,4.100,4.290 - 4.240,4.280,jan_25_2020,"27,406.56M",6.34B,-,109.90M,0.27,-,SGD 3.93489,SGD 3.93493,18.347018779342722,0.44369448301703807,9.865985915492958,1.248,2.336,2.671,"24,173.16M",34.423,"53,877.53M","45,712.93M","3,695.72M",7.206,2.437,"-1,325.44M",-,"57,242.64M","1,335.15M",3.090,"1,385.35M",2.598,0.415,-2.426,"3,576.58M",Food & Beverages / Food Processing / 
Keppel Corp,6.750,6.840 - 6.810,6.830,jan_25_2020,"12,419.63M",1.82B,-,72.24M,0.31,-,SGD 6.41147,SGD 6.4142,18.922697368421055,1.7130150623268698,11.967434210526317,1.128,3.368,4.356,"9,939.12M",53.997,"17,850.15M","26,556.97M","2,117.99M",8.427,2.481,-254.51M,-,"7,058.84M","1,042.57M",10.089,650.10M,9.916,-13.776,-12.743,"1,152.22M",Industrial Conglomerates / Industrial Conglomerates / 
AEM,2.110,2.170 - 2.120,2.130,jan_25_2020,582.15M,269.71M,-,154.71M,0.12,-,SGD 1.47773,SGD 1.47763,14.066666666666665,2.0287132630315496,12.55547685185185,4.980,1.831,3.560,-62.28M,0.055,523.51M,136.43M,58.89M,45.472,26.469,-4.73M,-,273.83M,39.75M,18.886,40.41M,14.758,41.033,47.779,56.60M,Technology Equipment / Semiconductors / 
