names,openprice,high_low,close,prevclosedate,marketcap,sharesoutstanding,p_float,avgvolume,normalizedeps,mthvwap,unadjvwap,adjvwap,peratio,price_sales,price_cf,pricebookvalue,dividend,divident_5_yr_avg,debt,long_term_debt_equity,enterprisevalue,assets,cash,roe,roa,capex,ebit,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
DBS,19.060,17.170 - 16.650,16.880,mar_26_2020,"43,279.25M",2.55B,-,151.70M,2.46,-,SGD 23.53571,SGD 23.39137,7.625113317757008,3.561015777851777,6.937082943925232,0.846,7.287,4.242,"34,304.00M",38.234,"77,583.25M","578,946.00M",-,12.595,1.138,-586.00M,-,"15,592.00M",-,50.332,"6,299.00M",42.672,9.319,8.918,"10,029.00M",Banking & Investment Services / Banks / 
Singtel,2.520,2.310 - 2.190,2.280,mar_26_2020,"37,230.48M",16.32B,-,648.93M,0.19,-,SGD 3.12592,SGD 3.11746,32.63957522123894,2.7253654945571313,11.137061946902657,1.382,7.675,4.752,"12,502.70M",29.439,"47,381.88M","48,914.80M",512.70M,10.393,2.555,"-2,057.90M",-,"16,985.10M","2,537.90M",13.706,"1,273.20M",7.345,0.151,-3.703,"4,667.50M",Telecommunications Services / Integrated Telecommunications Services / 
UOB,19.730,17.900 - 17.280,17.570,mar_26_2020,"29,527.11M",1.67B,-,75.58M,2.60,-,SGD 24.47566,SGD 24.40169,7.432368156424583,3.460095562560471,6.831650279329611,0.740,6.261,3.682,"-52,849.00M",63.600,"-23,321.89M","404,409.00M",-,11.245,1.101,-573.00M,-,"12,557.00M",-,49.923,"4,345.00M",42.099,4.871,5.729,"5,575.00M",Banking & Investment Services / Banks / 
OCBC Bank,8.750,8.040 - 7.800,7.810,mar_26_2020,"34,431.12M",4.40B,-,147.83M,1.10,-,SGD 10.35991,SGD 10.33187,7.622512437810945,1.429589266045395,6.782338308457712,0.729,6.786,3.916,"-29,626.00M",62.313,"4,805.12M","491,691.00M",-,10.905,1.047,-368.00M,-,"12,098.00M",-,20.327,"4,869.00M",17.600,6.146,1.731,"7,070.00M",Banking & Investment Services / Banks / 
CapitaMall Trust,1.780,1.680 - 1.560,1.610,mar_26_2020,"5,941.15M",3.69B,-,375.26M,0.19,-,SGD 2.37637,SGD 2.37519,10.978785714285713,8.47780498866213,9.010190476190475,0.765,6.171,4.437,"3,370.00M",42.609,"9,311.15M","11,731.66M",202.20M,9.172,5.999,-0.97M,-,786.74M,374.79M,47.639,696.93M,88.585,2.539,1.235,505.73M,Real Estate / Commercial REITs / 
Ascendas Reit,2.670,2.350 - 2.220,2.290,mar_26_2020,"8,285.65M",3.62B,-,396.95M,-,-,SGD 3.03052,SGD 3.02986,16.152931914893617,11.574054757808964,-,1.020,-,-,"5,133.58M",56.895,"13,419.23M","11,413.82M",52.34M,-,4.234,-,-,924.12M,587.53M,68.777,517.65M,57.558,-,-,635.58M,Real Estate / Commercial REITs / 
SGX,9.000,8.230 - 7.970,8.120,mar_26_2020,"8,701.74M",1.07B,-,87.45M,0.36,-,SGD 8.72009,SGD 8.72589,23.231319358816275,11.217963239732349,19.60135635018496,8.084,3.695,3.801,-652.80M,-,"8,231.44M","2,132.29M",470.29M,35.764,24.115,-47.35M,-,955.29M,461.02M,51.829,416.76M,43.627,5.785,4.068,571.61M,Banking & Investment Services / Financial & Commodity Market Operators / 
Mapletree Ind Tr,2.350,1.990 - 1.860,1.910,mar_26_2020,"4,203.91M",2.20B,-,191.00M,0.14,-,SGD 2.5684,SGD 2.56683,15.737878787878788,14.699338715437204,16.78469696969697,1.209,5.489,5.277,"1,573.92M",43.371,"5,560.62M","4,607.06M",40.01M,9.305,6.215,-0.14M,-,402.88M,214.23M,59.001,297.20M,73.770,1.889,-5.495,278.96M,Real Estate / Commercial REITs / 
SIA,6.500,5.780 - 5.350,5.360,mar_26_2020,"6,431.20M",1.19B,-,50.32M,0.62,-,SGD 8.15023,SGD 8.1313,9.940051903114188,0.4818324134050118,2.677595155709342,0.523,5.597,2.911,"6,418.90M",48.343,"10,024.80M","30,505.20M","3,060.80M",5.222,2.546,"-5,667.70M",-,"16,870.20M",997.60M,6.030,723.00M,4.539,1.261,13.663,"3,051.70M",Transportation / Airlines / 
CapitaCom Trust,1.510,1.400 - 1.300,1.380,mar_26_2020,"5,329.39M",3.86B,-,322.15M,0.11,-,SGD 1.95095,SGD 1.95067,13.020514285714288,15.034700204081634,13.180142857142858,-,5.331,4.374,-,38.521,"7,934.43M","10,190.75M",205.47M,6.165,-,-0.08M,-,412.35M,303.15M,73.518,433.91M,105.708,5.185,-4.812,294.81M,Real Estate / Commercial REITs / 
