symbol,company,price,change,percen_change,volume,market_cap,sector,industry,pe_ratio,forward_pe,one_yr_tar,eps,day_high_low,div,yield,ex_div_date,div_pay_date,fifty_day_vol,year_high_low,beta
SSNLF,ssnlf,--,--,--,--,,,,,,,,,,,,,,,
MSFT,Microsoft Corporation Common Stock,$174.55,+3.13,1.83%,"34,305,320","1,327,635,505,596",Technology,Computer Software: Prepackaged Software,30.41,30.89,$192.00,$5.74,$174.56/$170.71,$2.04,1.18%,"May 20, 2020","Jun 11, 2020","60,360,903",$190.70/$119.01,1
AAPL,Apple Inc. Common Stock,$282.97,+7.94,2.89%,"31,593,364","1,238,129,575,600",Technology,Computer Manufacturing,22.35,22.62,$315.00,$12.66,$283.01/$277.00,$3.08,1.12%,"Feb 7, 2020","Feb 13, 2020","55,086,070",$327.85/$170.27,1
AMZN,"Amazon.com, Inc. Common Stock",$2410.22,+10.77,0.45%,"3,830,084","1,201,554,980,935",Consumer Services,Catalog/Specialty Distribution,104.75,86.34,"$2,450.00",$23.01,"$2,420.43/$2,382.00",N/A,N/A,N/A,N/A,"6,333,624","$2,461.00/$1,626.03",1
GOOGL,Alphabet Inc. Class A Common Stock,$1276.60,+5.43,0.43%,"1,870,251","877,389,422,494",Technology,"Computer Software: Programming, Data Processing",25.96,29.73,"$1,425.00",$49.18,"$1,277.71/$1,244.00",N/A,N/A,N/A,N/A,"2,861,256","$1,530.74/$1,008.87",1
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,$204.36,-0.88,0.43%,"14,350,928","548,241,279,024",Miscellaneous,Business Services,21.97,34.90,$250.00,$9.30,$206.50/$202.82,N/A,N/A,N/A,N/A,,$231.14/$147.95,1
FB,"Facebook, Inc. Class A Common Stock",$190.07,+4.94,2.67%,"28,848,143","541,848,381,831",Technology,"Computer Software: Programming, Data Processing",29.51,25.78,$220.00,$6.44,$190.41/$180.83,N/A,N/A,N/A,N/A,"24,552,140",$224.20/$137.10,1
TCEHY,Tencent Holdings Ltd. ADR,$52.85,+0.39,0.74%,"1,634,794",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$52.95/$52.45,N/A,N/A,N/A,N/A,0,N/A,
BRK/B,Berkshire Hathaway Inc.,$186.52,+0.89,0.48%,"5,150,448",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$187.28/$184.42,N/A,N/A,N/A,N/A,,N/A,
BRK/A,Berkshire Hathaway Inc.,$214748.3647,-64001.6353,22.96%,541,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$214,748.36/$214,748.36",N/A,N/A,N/A,N/A,,N/A,
JNJ,Johnson & Johnson Common Stock,$154.86,-0.65,0.42%,"8,544,492","408,265,509,280",Health Care,Major Pharmaceuticals,20.48,20.25,$161.00,$7.56,$156.30/$153.64,$4.04,2.48%,"May 22, 2020","Jun 9, 2020",,$157.00/$109.16,1
V,Visa Inc.,$167.32,+0.94,0.56%,"8,327,001","370,763,419,552",Miscellaneous,Business Services,30.53,30.93,$188.00,$5.48,$168.75/$164.01,$1.20,0.72%,"May 13, 2020","Jun 2, 2020",,$214.17/$133.93,1
WMT,Walmart Inc. Common Stock,$129.44,+0.91,0.71%,"5,754,739","366,609,963,357",Consumer Services,Department/Specialty Retail Stores,24.94,25.15,$130.50,$5.19,$129.89/$128.56,$2.16,1.64%,"May 7, 2020","Jun 1, 2020",,$133.38/$98.85,1
NSRGY,Nestle SA ADR (Sponsored) Reg Shs Ser B,$109.22,+3.22,3.04%,"390,112",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$110.17/$108.59,N/A,N/A,N/A,N/A,0,N/A,
NSRGF,Nestle S.A Reg Ord,$108.79,+2.465,2.32%,"6,354",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$110.29/$107.60,N/A,N/A,N/A,N/A,0,N/A,
RHHBY,Roche Holding Ltd ADR (Sponsored),$45.06,+0.88,1.99%,"1,898,060",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$45.24/$44.52,N/A,N/A,N/A,N/A,0,N/A,
RHHVF,Roche Holding Div Rts,$358.45,+6.20,1.76%,"5,027",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$360.00/$350.50,N/A,N/A,N/A,N/A,0,N/A,
PG,Procter & Gamble Company (The) Common Stock,$118.78,-0.62,0.52%,"12,620,109","294,056,829,572",Basic Industries,Package Goods/Cosmetics,67.11,24.12,$133.00,$1.77,$119.76/$118.62,$3.163,2.5%,"Apr 23, 2020","May 15, 2020",,$128.09/$94.34,1
JPM,JP Morgan Chase & Co. Common Stock,$90.71,+1.32,1.48%,"15,691,862","276,351,378,073",Finance,Major Banks,10.25,17.46,$101.00,$8.85,$91.10/$88.49,$3.60,4.03%,"Apr 3, 2020","Apr 30, 2020",,$141.10/$76.91,1
UNH,UnitedHealth Group Incorporated Common Stock (DE),$291.29,+5.96,2.09%,"3,229,653","275,975,764,981",Health Care,Medical Specialities,20.38,17.53,$318.00,$14.29,$291.90/$284.00,$4.32,1.56%,"Mar 13, 2020","Mar 24, 2020",,$306.71/$187.72,1
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$52.73,+0.09,0.17%,"5,485,568","273,461,792,278",Technology,Semiconductors,21.01,19.14,$57.00,$2.51,$52.89/$52.00,$1.314,2.49%,"Jun 18, 2020","Jul 16, 2020",,$60.64/$37.18,1
MA,Mastercard Incorporated Common Stock,$258.76,+2.90,1.13%,"3,771,164","260,081,995,525",Miscellaneous,Business Services,32.59,34.58,$287.00,$7.94,$259.83/$252.83,$1.60,0.62%,"Apr 8, 2020","May 8, 2020",,$347.25/$199.99,1
INTC,Intel Corporation Common Stock,$59.26,+0.22,0.37%,"50,200,325","253,663,826,166",Technology,Semiconductors,11.48,12.15,$61.00,$5.16,$59.40/$56.10,$1.32,2.2%,"May 6, 2020","Jun 1, 2020","34,396,410",$69.29/$42.86,1
VZ,Verizon Communications Inc. Common Stock,$57.93,+0.34,0.59%,"15,217,095","239,830,200,000",Public Utilities,Telecommunications Equipment,12.46,11.87,$61.00,$4.65,$57.99/$56.83,$2.46,4.24%,"Apr 9, 2020","May 1, 2020",,$62.22/$48.84,1
IDCBY,Industrial and Commercial Bank of China Ltd ADR,$13.085,+0.115,0.89%,"83,967",N/A,N/A,N/A,N/A,N/A,N/A,N/A,$13.10/$12.98,N/A,N/A,N/A,N/A,0,N/A,
IDCBF,Industrial & Coml Bk H Sh,$0.645,--,--,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,
HD,"Home Depot, Inc. (The) Common Stock",$212.18,+9.86,4.87%,"5,026,219","227,905,963,010",Consumer Services,RETAIL: Building Materials,20.7,20.52,$228.00,$10.25,$212.93/$203.85,$6.00,2.94%,"Mar 11, 2020","Mar 26, 2020",,$247.36/$140.63,1
T,AT&T Inc.,$29.71,+0.21,0.71%,"34,623,744","213,410,068,505",Public Utilities,Telecommunications Equipment,15.08,8.73,$36.50,$1.97,$29.95/$29.15,$2.08,7.06%,"Apr 8, 2020","May 1, 2020",,$39.70/$26.08,1
PFE,"Pfizer, Inc. Common Stock",$37.38,+0.69,1.88%,"15,960,795","207,370,746,007",Health Care,Major Pharmaceuticals,13.02,13.59,$38.50,$2.87,$37.43/$36.79,$1.52,4.19%,"Jan 30, 2020","Mar 6, 2020",,$44.56/$27.88,1
MRK,"Merck & Company, Inc. Common Stock (new)",$81.43,+0.55,0.68%,"7,215,287","205,617,810,877",Health Care,Major Pharmaceuticals,21.37,14.29,$92.50,$3.81,$82.10/$81.02,$2.44,3.05%,"Mar 13, 2020","Apr 7, 2020",,$92.64/$65.25,1
