name,23-Apr-19,24-Apr-19,25-Apr-19,26-Apr-19,29-Apr-19,30-Apr-19,11 May 2019,19 May 2019,26 May 2019,08 Jun 2019,30 Jun 2019
SingTel,3.17,3.17,3.14,3.13,3.16,3.17,3.170,3.140,3.150,,3.500
DBS,27.42,27.37,27.25,27.41,28.4,28.25,26.550,25.890,25.200,,25.960
UOB,27.01,27.12,27.04,27.28,27.97,27.83,25.610,24.980,24.640,,26.130
OCBC Bank,11.83,11.84,11.77,11.81,12.12,12.1,11.390,11.150,11.010,,11.400
Sembcorp Marine,1.75,1.76,1.76,1.73,1.74,1.71,1.580,1.550,1.470,1.430,1.510
CapitaLand,3.52,3.55,3.56,3.58,3.59,3.53,3.400,3.330,3.280,,3.530
ST Engineering,3.76,3.9,3.89,3.95,3.98,3.96,4.020,3.900,3.900,,4.140
ComfortDelGro,2.64,2.66,2.64,2.67,2.69,2.69,2.570,2.480,2.480,,2.660
Keppel Corp,6.91,6.91,6.91,6.95,6.79,6.77,6.530,6.340,6.120,,6.660
SGX,7.26,7.28,7.26,7.4,7.38,7.38,7.380,7.410,7.620,,7.920
Genting Sing,0.96,0.955,0.965,0.97,0.985,0.985,0.935,0.890,0.870,,0.920
ThaiBev,0.835,0.84,0.835,0.82,0.835,0.84,0.825,0.780,0.795,0.825,0.830
YZJ Shipbldg SGD,1.6,1.55,1.56,1.57,1.58,1.57,1.490,1.470,1.370,,1.530
Venture,19.26,19.39,19.29,17.52,17.58,16.97,16.030,15.600,15.090,,16.290
Sembcorp Ind,2.78,2.77,2.72,2.71,2.69,2.66,2.530,2.530,2.470,,2.410
Best World,1.81,1.62,1.62,1.62,1.62,1.62,1.360,1.360,1.360,1.360,1.360
Wilmar Intl,3.64,3.63,3.61,3.64,3.65,3.64,3.510,3.560,3.400,,3.700
CityDev,9.16,9.19,9.11,9.05,9.09,8.94,8.740,8.610,8.330,,9.470
HongkongLand USD,7.02,7.06,6.99,6.93,6.92,6.97,6.910,6.800,6.850,6.710,6.440
AEM,1.05,1.05,1.16,1.15,1.16,1.14,1.000,0.965,0.900,0.865,1.030
Golden Agri-Res,0.3,0.285,0.29,0.285,0.29,0.29,0.280,0.275,0.265,0.270,0.290
Jardine C&C,36.23,35.94,36.26,36.33,36.53,35.52,34.810,33.180,33.670,,36.230
SIA,9.74,9.65,9.59,9.64,9.67,9.68,9.540,9.300,9.170,,9.270
SATS,5.23,5.23,5.23,5.25,5.25,5.23,5.270,5.080,5.070,,5.220
UOL,7.64,7.69,7.66,7.68,7.64,7.58,7.260,7.050,6.930,6.940,7.550
SPH,2.49,2.5,2.49,2.52,2.52,2.51,2.390,2.380,2.390,,2.440
Haw Par,14,14.08,14.2,14.2,14.35,14.5,14.000,14.550,14.440,13.240,14.120
Hi-P,1.45,1.5,1.53,1.5,1.49,1.46,1.320,1.280,1.200,1.210,1.390
Yanlord Land,1.47,1.49,1.48,1.47,1.48,1.46,1.430,1.410,1.220,1.220,1.290
StarHub,1.54,1.53,1.53,1.53,1.54,1.55,1.510,1.520,1.520,1.480,1.540
Yoma Strategic,0.335,0.33,0.33,0.33,0.33,0.325,0.340,0.330,0.335,0.350,0.385
JMH USD,63.75,64.44,63.75,64,64.92,65.8,64.310,62.000,61.700,65.770,63.020
Clearbridge,0.196,0.19,0.182,0.178,0.174,0.174,0.158,0.153,0.146,0.155,0.169
Rex Intl,0.08,0.08,0.08,0.079,0.076,0.075,0.069,0.070,0.063,0.067,0.072
Chip Eng Seng,0.795,0.79,0.79,0.8,0.79,0.795,0.710,0.690,0.680,0.690,0.720
BRC Asia,1.31,1.31,1.31,1.34,1.39,1.39,1.340,1.340,1.340,1.340,1.320
Frasers Property,1.84,1.84,1.87,1.86,1.87,1.86,1.840,1.870,1.800,1.790,1.870
Japfa,0.67,0.67,0.65,0.65,0.64,0.64,0.545,0.550,0.575,0.570,0.530
SingPost,1.04,1.04,1.04,1.03,1.04,1.04,0.970,0.955,0.940,0.945,0.950
Miyoshi,0.056,0.053,0.052,0.051,0.048,0.047,0.049,0.051,0.046,0.044,0.045
Fu Yu,0.215,0.215,0.215,0.215,0.22,0.215,0.205,0.200,0.200,0.200,0.205
China Sunsine,1.21,1.17,1.19,1.17,1.19,1.16,1.090,1.120,1.170,1.130,1.140
