names,openprice,upside,downside,revenue,div_val,marketcap,peratio,operating_margin,net_profit_margin,debt_assets_ratio,shortdebt_over_profit,p_nav,profitMarginGrowth,cash_percen,volume traded %,Revenue growth,Operating Income growth,Net Income growth,Cash growth,"Total Receivables, Net growth","Accumulated Depreciation, Total growth",Total Assets growth,Total Current Liabilities growth,Total Long Term Debt growth,Total Debt growth,"Common Stock, Total growth",receiveables over revenue,cash over assets,long term debt over debt
Yanlord Land,1.05,0.428571429,-0.166666667,3765290000,4.176,2065660000,3.029,47.117,27.794,0.35415274,9.606178977,0.020739919,1.976601229,0.106374818,0.022279793,0.07,0.25,0.27,-0.42,0.9,0.16,0.13,0.14,0.37,0.27,0,-136.08,-93.46,0.74
China Everbright,0.215,1.348837209,-0.075,1022420000,5.476,1296360000,3.791,27.553,15.939,0.401207863,8.429585722,0.03932926,0.499421889,0.090475126,0.007622378,0.33,0.22,0.22,0.16,0.18,0.14,0.13,0.14,0.31,0.18,0.02,0.61,1.57,7.69
OUE,1.11,0.517117117,-0.193548387,930840000,1.786,1099390000,4.267,30.825,34.571,0.374095673,13.56186819,0.13758479,-1.663373279,0.051653081,0.019467122,0.3,1.12,5.79,0.59,1.36,0.17,0.07,0.57,0.01,0.09,0,-10.27,-14.46,20.7
ChinaSunsine,0.35,0.771428571,-0.320754717,542940000,7.432,363850000,4.62,16.812,14.445,0.003461038,-3.26500956,0.082183978,2.562881276,0.438592283,0.017673558,0.11,0.18,0.29,0,0.11,0,0.17,-0.01,0,0,0,1.25,0,0
SIIC Environment,0.22,0.545454545,-0.215469613,1202130000,8.889,585630000,4.842,28.023,12.659,0.445084953,20.03790882,0.028123517,0.342418931,0.07347444,0.003973077,0.37,0.42,0.14,0,0.31,0.3,0.31,0.37,0.77,0.54,0.07,1.03,0,1.31
GuocoLand,1.45,0.448275862,-0.208333333,1188090000,4.795,1727730000,5.917,29.955,26.947,0.447572385,16.52806486,0.252852544,0.737339056,0.082113752,0.009063063,-0.05,0.18,0.26,0,0.03,0.14,0.02,-0.21,0.13,-0.02,0,14.65,1.99,1.16
UIC,2.3,0.4,-0.18556701,789450000,1.133,3237830000,6.173,93.329,87.32,0.065361128,0.674687247,0.381714827,4.064141414,0.020123817,0.00206993,0.06,0.27,0.28,0.28,0.41,0,0.01,0.23,8.9,-0.13,0.01,2.16,12.19,-14.02
Jardine C&C,21.46,0.747437092,-0.294330519,26542510000,5.65,8355300000,6.639,11.814,10.626,0.286742753,7.333420747,0.375158696,0.068796069,0.064411607,0.02967817,0.04,0.18,0.23,-0.01,0.09,0.19,0.1,0.13,0.13,0.13,0,6.63,-0.21,-0.54
CapitaLand,3.03,0.310231023,-0.18359375,6234760000,3.282,15307210000,6.835,65.421,54.752,0.381452536,11.81870789,0.267435016,1.35854571,0.074898793,0.051644841,0.08,0.28,0.19,0.27,0.02,0.08,0.16,0.16,0.21,0.2,0.24,2.09,4.33,1.08
Metro,0.695,0.496402878,-0.177966102,224190000,2.837,586240000,7.016,20.092,37.496,0.120898673,2.115971638,0.303408902,-0.524647072,0.119345788,0.003103715,0.05,-0.08,0.02,-0.05,9.64,-0.06,0.04,0,0,0.88,0,247.78,4.76,0
DBS,19.8,0.446464646,-0.189189189,15592000000,6.38,49432700000,7.822,50.332,42.672,0.104786975,5.445943801,0,0.956969632,0,0.069760784,0,0,0.1,0,0,0.15,0.06,0,0.08,0.12,0.04,0,0,0.7
UOB,20.44,0.358561644,-0.18287037,12556830000,5.245,33644440000,7.883,49.46,41.702,0.064342008,-12.44699903,0,0.927868266,0,0.053107784,0,0,0.08,0,0,0.11,0.06,0,0.07,0.07,0.1,0,0,1.08
Frasers Property,1.26,0.507936508,-0.266331658,3887310000,4.762,3686330000,7.958,25.489,28.371,0.462252076,33.16659884,0.155006863,-0.661827384,0.09512892,0.001921502,0.02,0.02,-0.06,0,0.01,0.45,0.13,0.24,0.12,0.15,0,3,0,1.21
OCBC Bank,9.04,0.348451327,-0.158974359,12097660000,5.982,39060140000,8.021,20.327,17.6,0.061138639,-6.158752531,0,0.258842926,0,0.041654545,0,0,0.06,0,0,0.11,0.06,0,0.09,0.1,0.06,0,0,1.17
Stamford Land,0.355,0.436619718,-0.203389831,203780000,2.778,311070000,8.882,21.713,16.901,0.15839077,12.12117612,0.399170731,5.918593449,0.252067726,0.005032044,0.06,0.13,0.19,1.32,0.26,0.03,-0.05,0.4,1.37,-0.18,0,-0.26,-1.11,21.98
HRnetGroup,0.465,0.720430108,-0.148148148,423080000,5.773,490530000,9.284,16.161,13.183,0.034012307,-5.04748062,0.689546322,1.669337218,0.658541239,0.010871287,0.04,0.07,0.08,0.15,0.06,0.11,0.29,0.09,0,0,8.52,2.88,3.59,0
Oxley,0.24,0.604166667,-0.230769231,754320000,4.348,974730000,9.293,32.057,12.955,0.578023287,27.31807064,0.328745831,1.628156974,0.076592852,0.017210402,0.06,0.14,0.37,0,0.23,0.74,0.11,0.2,0.17,0.11,0.31,0.4,0,-4.31
