names,last price,change,changePercen,vol,valTraded,dayHigh,dayLow,address,update_date
SIA,4.400,-1.510,-25.55,"48,790.7",225.69,5.040,4.150,https://www.sgx.com/securities/equities/C6L,06/05/2020
DBS,19.740,+0.040,+0.20,"5,057.3",100.06,19.850,19.600,https://www.sgx.com/securities/equities/D05,06/05/2020
Singtel,2.750,+0.020,+0.73,"29,072.9",80.23,2.780,2.720,https://www.sgx.com/securities/equities/Z74,06/05/2020
OCBC Bank,8.880,-0.020,-0.23,"6,437",57.24,8.950,8.830,https://www.sgx.com/securities/equities/O39,06/05/2020
UOB,19.880,-0.020,-0.10,"2,639.7",52.71,20.080,19.850,https://www.sgx.com/securities/equities/U11,06/05/2020
Ascendas Reit,2.960,+0.020,+0.68,"16,395.9",48.68,3.030,2.940,https://www.sgx.com/securities/equities/A17U,06/05/2020
Frasers L&C Tr,1.080,+0.040,+3.85,"39,590.5",42.08,1.080,1.020,https://www.sgx.com/securities/equities/BUOU,06/05/2020
SGX,9.760,+0.260,+2.74,"4,334.2",42.02,9.790,9.400,https://www.sgx.com/securities/equities/S68,06/05/2020
SPH,1.600,+0.090,+5.96,"25,186.8",39.61,1.600,1.510,https://www.sgx.com/securities/equities/T39,06/05/2020
CapitaLand,2.900,+0.020,+0.69,"13,174.8",38.24,2.920,2.880,https://www.sgx.com/securities/equities/C31,06/05/2020
AEM,2.580,+0.050,+1.98,"12,215.3",31.75,2.640,2.520,https://www.sgx.com/securities/equities/AWX,06/05/2020
CapitaMall Trust,1.840,+0.020,+1.10,"15,217.8",27.94,1.850,1.810,https://www.sgx.com/securities/equities/C38U,06/05/2020
Medtecs Intl,0.158,+0.044,+38.60,"167,884.4",25.13,0.162,0.137,https://www.sgx.com/securities/equities/546,06/05/2020
Keppel Corp,6.000,+0.060,+1.01,"3,883.5",23.31,6.040,5.890,https://www.sgx.com/securities/equities/BN4,06/05/2020
CapitaCom Trust,1.580,﹣,﹣,"13,736.9",21.69,1.590,1.560,https://www.sgx.com/securities/equities/C61U,06/05/2020
ST Engineering,3.300,+0.040,+1.23,"6,350.5",21.07,3.350,3.260,https://www.sgx.com/securities/equities/S63,06/05/2020
ComfortDelGro,1.590,+0.030,+1.92,"13,230.7",20.87,1.610,1.540,https://www.sgx.com/securities/equities/C52,06/05/2020
Suntec Reit,1.370,+0.020,+1.48,"14,957.5",20.45,1.380,1.350,https://www.sgx.com/securities/equities/T82U,06/05/2020
SATS,2.990,+0.010,+0.34,"6,801.5",20.32,3.030,2.930,https://www.sgx.com/securities/equities/S58,06/05/2020
YZJ Shipbldg SGD,0.975,+0.015,+1.56,"20,460.5",19.93,0.985,0.965,https://www.sgx.com/securities/equities/BS6,06/05/2020
Mapletree Log Tr,1.820,-0.020,-1.09,"10,270.8",18.65,1.840,1.800,https://www.sgx.com/securities/equities/M44U,06/05/2020
Mapletree Com Tr,1.920,-0.010,-0.52,"8,419.6",16.19,1.940,1.900,https://www.sgx.com/securities/equities/N2IU,06/05/2020
Biolidics,0.440,+0.030,+7.32,"35,308.1",15.58,0.465,0.415,https://www.sgx.com/securities/equities/8YY,06/05/2020
Genting Sing,0.765,+0.015,+2.00,"19,262.3",14.64,0.765,0.745,https://www.sgx.com/securities/equities/G13,06/05/2020
HongkongLand USD,4.050,-0.030,-0.74,"3,559.4",14.36,4.100,4.010,https://www.sgx.com/securities/equities/H78,06/05/2020
Venture,15.760,+0.190,+1.22,875,13.79,15.850,15.500,https://www.sgx.com/securities/equities/V03,06/05/2020
Mapletree Ind Tr,2.510,-0.050,-1.95,"5,188.7",13.15,2.580,2.500,https://www.sgx.com/securities/equities/ME8U,06/05/2020
Wilmar Intl,3.480,+0.040,+1.16,"3,520.7",12.22,3.500,3.400,https://www.sgx.com/securities/equities/F34,06/05/2020
Keppel DC Reit,2.290,-0.050,-2.14,"5,078",11.72,2.340,2.290,https://www.sgx.com/securities/equities/AJBU,06/05/2020
Mapletree NAC Tr,0.890,-0.010,-1.11,"12,338.2",10.95,0.900,0.880,https://www.sgx.com/securities/equities/RW0U,06/05/2020
CityDev,7.870,+0.060,+0.77,"1,237.8",9.73,7.900,7.740,https://www.sgx.com/securities/equities/C09,06/05/2020
JMH USD,44.610,+0.810,+1.85,210.8,9.38,44.830,43.800,https://www.sgx.com/securities/equities/J36,06/05/2020
Sheng Siong,1.510,+0.040,+2.72,"6,226.2",9.3,1.510,1.470,https://www.sgx.com/securities/equities/OV8,06/05/2020
Jardine C&C,20.130,+0.240,+1.21,409.4,8.25,20.320,19.750,https://www.sgx.com/securities/equities/C07,06/05/2020
ThaiBev,0.690,﹣,﹣,"11,112.4",7.65,0.695,0.685,https://www.sgx.com/securities/equities/Y92,06/05/2020
Clearbridge,0.190,+0.016,+9.20,"41,000.2",7.65,0.194,0.175,https://www.sgx.com/securities/equities/1H3,06/05/2020
Keppel Reit,1.030,-0.020,-1.91,"6,829.1",7.13,1.060,1.030,https://www.sgx.com/securities/equities/K71U,06/05/2020
UOL,6.770,+0.010,+0.15,981.7,6.67,6.840,6.740,https://www.sgx.com/securities/equities/U14,06/05/2020
NetLink NBN Tr,1.000,+0.010,+1.01,"6,601.4",6.59,1.000,0.990,https://www.sgx.com/securities/equities/CJLU,06/05/2020
StarHub,1.490,+0.030,+2.06,"4,353.5",6.48,1.510,1.460,https://www.sgx.com/securities/equities/CC3,06/05/2020
JSH USD,21.720,+0.510,+2.41,279.2,6.07,21.970,21.170,https://www.sgx.com/securities/equities/J37,06/05/2020
Frasers Cpt Tr,2.070,-0.010,-0.48,"2,831.3",5.94,2.130,2.070,https://www.sgx.com/securities/equities/J69U,06/05/2020
ESR-REIT,0.355,﹣,﹣,"16,494.2",5.86,0.360,0.350,https://www.sgx.com/securities/equities/J91U,06/05/2020
Rex Intl,0.117,+0.001,+0.86,"41,381.6",4.87,0.119,0.117,https://www.sgx.com/securities/equities/5WH,06/05/2020
Sembcorp Ind,1.580,+0.010,+0.64,"3,029.6",4.79,1.590,1.560,https://www.sgx.com/securities/equities/U96,06/05/2020
Hi-P,1.090,+0.010,+0.93,"3,562.7",3.92,1.130,1.070,https://www.sgx.com/securities/equities/H17,06/05/2020
SingPost,0.745,+0.010,+1.36,"5,087.8",3.78,0.750,0.730,https://www.sgx.com/securities/equities/S08,06/05/2020
STI ETF,2.605,+0.020,+0.77,"1,414.25",3.68,2.619,2.575,https://www.sgx.com/securities/products/ES3,06/05/2020
Ascott Trust,0.860,﹣,﹣,"4,131.4",3.55,0.865,0.855,https://www.sgx.com/securities/equities/HMN,06/05/2020
UG Healthcare,0.300,+0.035,+13.21,"11,508.8",3.46,0.315,0.285,https://www.sgx.com/securities/equities/41A,06/05/2020
UMS,0.785,﹣,﹣,"4,308.7",3.39,0.795,0.780,https://www.sgx.com/securities/equities/558,06/05/2020
Lendlease Reit,0.575,+0.010,+1.77,"5,754.4",3.33,0.585,0.570,https://www.sgx.com/securities/equities/JYEU,06/05/2020
DairyFarm USD,4.800,+0.090,+1.91,687.3,3.29,4.820,4.720,https://www.sgx.com/securities/equities/D01,06/05/2020
Ascendas-iTrust,1.220,+0.020,+1.67,"2,521.6",3.08,1.230,1.190,https://www.sgx.com/securities/equities/CY6U,06/05/2020
First Resources,1.220,﹣,﹣,"2,495.9",3.05,1.240,1.210,https://www.sgx.com/securities/equities/EB5,06/05/2020
Frencken,0.740,+0.005,+0.68,"3,992.3",2.97,0.750,0.735,https://www.sgx.com/securities/equities/E28,06/05/2020
SPHREIT,0.790,-0.010,-1.25,"3,630.8",2.88,0.805,0.785,https://www.sgx.com/securities/equities/SK6U,06/05/2020
CSE Global,0.410,+0.015,+3.80,"6,846.3",2.81,0.420,0.390,https://www.sgx.com/securities/equities/544,06/05/2020
Q&M Dental,0.510,+0.035,+7.37,"5,217.5",2.62,0.525,0.470,https://www.sgx.com/securities/equities/QC7,06/05/2020
IX Biopharma,0.285,﹣,﹣,"8,402.5",2.41,0.295,0.280,https://www.sgx.com/securities/equities/42C,06/05/2020
CapitaR China Tr,1.340,﹣,﹣,"1,619.4",2.18,1.360,1.330,https://www.sgx.com/securities/equities/AU8U,06/05/2020
Kep Infra Tr,0.490,﹣,﹣,"4,276.2",2.09,0.495,0.485,https://www.sgx.com/securities/equities/A7RU,06/05/2020
HSI22600MBePW200629,0.120,-0.018,-13.04,"16,416",2.07,0.141,0.116,https://www.sgx.com/securities/products/GSGW,06/05/2020
HSI22200MBePW200528,0.053,-0.017,-24.29,"36,341",2.05,0.064,0.051,https://www.sgx.com/securities/products/9U3W,06/05/2020
Lippo Malls Tr,0.138,﹣,﹣,"14,621.7",2.04,0.141,0.137,https://www.sgx.com/securities/equities/D5IU,06/05/2020
Sembcorp Marine,0.735,+0.005,+0.69,"2,737.5",2.02,0.745,0.730,https://www.sgx.com/securities/equities/S51,06/05/2020
ManulifeReit USD,0.700,-0.005,-0.71,"2,847.9",1.99,0.705,0.695,https://www.sgx.com/securities/equities/BTOU,06/05/2020
CromwellReit EUR,0.395,﹣,﹣,"4,802.9",1.9,0.400,0.390,https://www.sgx.com/securities/equities/CNNU,06/05/2020
Golden Agri-Res,0.150,﹣,﹣,"11,765.9",1.78,0.152,0.150,https://www.sgx.com/securities/equities/E5H,06/05/2020
Trendlines,0.116,+0.008,+7.41,"13,282.7",1.52,0.117,0.108,https://www.sgx.com/securities/equities/42T,06/05/2020
Hyphens Pharma,0.240,+0.010,+4.35,"6,212.5",1.49,0.245,0.230,https://www.sgx.com/securities/equities/1J5,06/05/2020
Singapore-eDev,0.052,+0.002,+4.00,"29,462.4",1.48,0.053,0.047,https://www.sgx.com/securities/equities/40V,06/05/2020
DLC SG7xShortMSG210114,1.660,-0.150,-8.29,869.1,1.47,1.835,1.630,https://www.sgx.com/securities/products/CPWW,06/05/2020
Riverstone,1.210,+0.030,+2.54,"1,191.7",1.43,1.210,1.180,https://www.sgx.com/securities/equities/AP4,06/05/2020
Haw Par,10.030,-0.050,-0.50,138.6,1.39,10.080,10.020,https://www.sgx.com/securities/equities/H02,06/05/2020
CDL HTrust,0.935,﹣,﹣,"1,424.9",1.34,0.945,0.935,https://www.sgx.com/securities/equities/J85,06/05/2020
HSI25400MBeCW200629,0.085,+0.009,+11.84,"15,038.2",1.21,0.091,0.069,https://www.sgx.com/securities/products/Y8MW,06/05/2020
HSI24200MBeCW200528,0.114,+0.014,+14.00,"11,008",1.18,0.120,0.092,https://www.sgx.com/securities/products/NRKW,06/05/2020
Kitchen Culture,0.225,﹣,﹣,"5,088.3",1.16,0.235,0.220,https://www.sgx.com/securities/equities/5TI,06/05/2020
IS MS INDIA US$,6.640,-0.070,-1.04,161.26,1.08,6.740,6.640,https://www.sgx.com/securities/products/I98,06/05/2020
IPS Securex,0.069,+0.002,+2.99,"15,364.2",1.06,0.071,0.066,https://www.sgx.com/securities/equities/42N,06/05/2020
COSCO SHP SG,0.220,﹣,﹣,"4,647.8",1.02,0.230,0.215,https://www.sgx.com/securities/equities/F83,06/05/2020
Yanlord Land,1.040,+0.010,+0.97,931.3,0.96,1.040,1.030,https://www.sgx.com/securities/equities/Z25,06/05/2020
OUE Com Reit,0.400,﹣,﹣,"2,332.2",0.94,0.405,0.395,https://www.sgx.com/securities/equities/TS0U,06/05/2020
NikkoAM-STC Asia REIT,1.061,+0.008,+0.76,883.19,0.94,1.063,1.054,https://www.sgx.com/securities/products/CFA,06/05/2020
Far East HTrust,0.485,-0.005,-1.02,"1,832.6",0.9,0.495,0.485,https://www.sgx.com/securities/equities/Q5T,06/05/2020
SIA Engineering,1.820,+0.020,+1.11,491.4,0.89,1.830,1.780,https://www.sgx.com/securities/equities/S59,06/05/2020
Synagie,0.108,+0.004,+3.85,"12,275.6",1.31,0.109,0.104,https://www.sgx.com/securities/equities/V2Y,06/05/2020
Raffles Medical,0.880,+0.005,+0.57,"1,425.3",1.26,0.890,0.870,https://www.sgx.com/securities/equities/BSL,06/05/2020
ParkwayLife Reit,3.260,+0.010,+0.31,385.5,1.25,3.280,3.240,https://www.sgx.com/securities/equities/C2PU,06/05/2020
HSI21800MBePW200629,0.092,-0.013,-12.38,"13,066",1.24,0.109,0.090,https://www.sgx.com/securities/products/946W,06/05/2020
Valuetronics,0.620,+0.005,+0.81,"1,337.6",0.83,0.630,0.615,https://www.sgx.com/securities/equities/BN2,06/05/2020
GLD US$,160.000,+0.320,+0.20,5.17,0.83,160.570,159.550,https://www.sgx.com/securities/products/O87,06/05/2020
Koufu,0.645,+0.030,+4.88,"1,305.8",0.83,0.650,0.620,https://www.sgx.com/securities/equities/VL6,06/05/2020
AIMS APAC Reit,1.150,+0.010,+0.88,705,0.81,1.150,1.140,https://www.sgx.com/securities/equities/O5RU,06/05/2020
Olam Intl,1.500,+0.010,+0.67,524.1,0.79,1.530,1.480,https://www.sgx.com/securities/equities/O32,06/05/2020
Moya Asia,0.062,+0.003,+5.09,"12,164.9",0.75,0.063,0.061,https://www.sgx.com/securities/equities/5WE,06/05/2020
Yoma Strategic,0.199,+0.003,+1.53,"3,741.5",0.74,0.200,0.196,https://www.sgx.com/securities/equities/Z59,06/05/2020
Silverlake Axis,0.270,﹣,﹣,"2,641.8",0.7,0.270,0.265,https://www.sgx.com/securities/equities/5CP,06/05/2020
Japfa,0.560,-0.005,-0.89,"1,209.7",0.69,0.575,0.555,https://www.sgx.com/securities/equities/UD2,06/05/2020
HPH Trust USD,0.119,-0.001,-0.83,"5,506.5",0.66,0.120,0.119,https://www.sgx.com/securities/equities/NS8U,06/05/2020
First Reit,0.800,+0.015,+1.91,785.8,0.62,0.800,0.785,https://www.sgx.com/securities/equities/AW9U,06/05/2020
ARA LOGOS Log Tr,0.525,-0.010,-1.87,"1,141.5",0.6,0.525,0.520,https://www.sgx.com/securities/equities/K2LU,06/05/2020
China Aviation,1.030,+0.010,+0.98,578.3,0.59,1.040,1.000,https://www.sgx.com/securities/equities/G92,06/05/2020
TEE Intl,0.026,+0.001,+4.00,"22,829.4",0.58,0.026,0.024,https://www.sgx.com/securities/equities/M1Z,06/05/2020
Dyna-Mac,0.082,﹣,﹣,"6,710.1",0.56,0.085,0.081,https://www.sgx.com/securities/equities/NO4,06/05/2020
OUE,1.110,-0.010,-0.89,318.3,0.36,1.120,1.100,https://www.sgx.com/securities/equities/LJ3,06/05/2020
DLC SG5xShort DBS,0.870,-0.010,-1.14,637.3,0.56,0.910,0.860,https://www.sgx.com/securities/products/DFFW,06/05/2020
DLC SG7xLongHSI210723,0.138,+0.011,+8.66,"4,134",0.54,0.139,0.123,https://www.sgx.com/securities/products/JYIW,06/05/2020
StarhillGbl Reit,0.485,﹣,﹣,"1,084.8",0.53,0.495,0.485,https://www.sgx.com/securities/equities/P40U,06/05/2020
OEL,0.023,﹣,﹣,"21,479.2",0.5,0.024,0.022,https://www.sgx.com/securities/equities/584,06/05/2020
Nikko AM STI ETF,2.670,+0.030,+1.14,185.4,0.49,2.680,2.640,https://www.sgx.com/securities/products/G3B,06/05/2020
ChinaSunsine,0.380,+0.020,+5.56,"1,300.8",0.49,0.385,0.370,https://www.sgx.com/securities/equities/QES,06/05/2020
HSI23200MBePW200528,0.104,-0.022,-17.46,"4,539",0.49,0.123,0.100,https://www.sgx.com/securities/products/WY2W,06/05/2020
SBS Transit,2.930,-0.010,-0.34,161.8,0.48,2.960,2.930,https://www.sgx.com/securities/equities/S61,06/05/2020
Interra Resource,0.050,﹣,﹣,"8,366",0.42,0.052,0.050,https://www.sgx.com/securities/equities/5GI,06/05/2020
