	industry	cluster
0	Consumer	5
1	Non-Cyclical	5
2	Food Processing	5
3	Services	9
4	Casinos & Gaming	1
5	Transportation	9
6	Misc. Transportation	7
7	Capital Goods	9
8	Construction Services	6
9	Consumer Cyclical	9
10	Auto & Truck Manufacturers	2
11	Aerospace & Defense	6
12	Financial	9
13	Investment Services	8
14	Printing & Publishing	1
15	Beverages (Alcoholic)	5
16	Real Estate Operations	1
17	Airline	7
18	Basic Materials	9
19	Fabricated Plastic & Rubber	3
20	Misc. Capital Goods	6
21	Retail (Grocery)	1
22	Utilities	9
23	Electric Utilities	9
24	Technology	9
25	Semiconductors	4
26	Water Transportation	7
27	Communications Services	1
28	Metal Mining	3
29	Air Courier	7
30	Crops	5
31	Communications Equipment	4
32	Retail (Specialty)	1
33	Energy	9
34	Oil & Gas Operations	9
35	Electronic Instr. & Controls	4
36	Computer Services	4
37	Retail (Department & Discount)	1
38	Furniture & Fixtures	2
39	Personal & Household Prods.	5
40	Healthcare	9
41	Healthcare Facilities	9
42	Restaurants	1
43	Waste Management Services	1
44	Gold & Silver	3
45	Retail (Catalog & Mail Order)	1
46	Coal	9
47	Major Drugs	9
48	Chemicals - Plastics & Rubber	3
49	Biotechnology & Drugs	9
50	Misc. Financial Services	8
51	Appliance & Tool	2
52	Hotels & Motels	1
53	Insurance (Life)	8
54	Computer Peripherals	4
55	Water Utilities	9
56	Software & Programming	4
57	Railroads	7
58	Consumer Financial Services	8
59	Rental & Leasing	1
60	Schools	1
61	Computer Storage Devices	4
62	Chemical Manufacturing	3
63	Misc. Fabricated Products	3
64	Business Services	1
65	Trucking	7
66	Oil Well Services & Equipment	9
67	Motion Pictures	1
68	Insurance (Prop. & Casualty)	8
69	Beverages (Nonalcoholic)	5
70	Constr. - Supplies & Fixtures	6
71	Recreational Activities	1
72	Auto & Truck Parts	2
73	Printing Services	1
74	Construction - Raw Materials	6
75	Retail (Apparel)	1
76	Paper & Paper Products	3
77	Non-Metallic Mining	3
78	Retail (Technology)	1
79	Computer Networks	4
80	Natural Gas Utilities	9
81	Containers & Packaging	3
82	Constr. & Agric. Machinery	6
83	Audio & Video Equipment	2
84	Textiles - Non Apparel	2
85	Medical Equipment & Supplies	9
86	Apparel	2
87	Accessories	2
88	Personal Services	1
89	Recreational Products	2
90	Computer Hardware	4
91	Tires	2
92	Fish	5
93	Livestock	5
94	Scientific & Technical Instr.	4
95	Jewelry & Silverware	2
96	Footwear	2
97	Iron & Steel	3
98	Forestry & Wood Products	3
99	Office Supplies	5
100	Advertising	1
