name,address,openPrice,normalizedEPS,peratio,new PE ratio,netincome,operating_margin,net_profit_margin,aquirer multiple,normalized aquirer multiple,cash,assets,roe,new roe,roa,new roa,price/Sales,price/CF,long term debt/equity,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,compare
DBS,https://www2.sgx.com/securities/equities/D05,25.96,2.12,12.085023323615161,12.245283018867925,5491000000.0,48.784,41.413999999999994,0.05638858771388075,460.37684312511385,0.0,550751000000.0,11.38,0.0,1.058,0.009970022750753062,4.606757275879947,11.26856997084548,35560000.0,7.196000000000001,7.7,0.16025969525276373
OCBC Bank,https://www2.sgx.com/securities/equities/O39,11.4,1.05,10.754258943781942,10.857142857142858,4472990000.0,26.241999999999997,22.092,0.11092448686460685,102.77261876284096,0.0,467542990000.0,11.022,0.0,1.016,0.009567013292189452,2.232827677475339,9.549199318568995,71840000.0,2.309,7.0489999999999995,0.10288391336091607
Genting Sing,https://www2.sgx.com/securities/equities/G13,0.92,0.06,14.601782383419689,15.333333333333334,755390000.0,38.405,29.749000000000002,0.08955848528679487,10.272616793973974,4214240000.0,9767140000.0,9.924,0.044027965180494316,7.797999999999999,0.0773399377914108,4.155537920481087,10.336414507772021,10690000.0,-1.926,5.452999999999999,0.731550949913645
UOB,https://www2.sgx.com/securities/equities/U11,26.13,2.33,11.137742761692648,11.214592274678111,3896940000.0,50.488,42.06100000000001,16.958701423038427,1.5408019369043402,0.0,388092360000.0,10.465,0.0,1.077,0.010041269557586757,4.4338508154721445,10.176538975501114,81350000.0,5.504,4.865,0.07684951298546316
SingTel,https://www2.sgx.com/securities/equities/Z74,3.5,0.23,18.5611821086262,15.217391304347826,3102100000.0,14.876,17.764,0.05057044788942024,69.21038167692853,524900000.0,48253700000.0,18.847,0.08000196001062532,6.32,0.0642872981760984,3.706172360644694,10.79520766773163,29020000.0,-1.179,8.718,-3.343790804278372
YZJ Shipbldg SGD,https://www2.sgx.com/securities/equities/BS6,1.53,0.2,8.30885625,7.6499999999999995,730610000.0,19.644000000000002,15.594000000000001,0.21392076314733863,7.152180917315667,18615420000.0,44911480000.0,13.199000000000002,0.010991138609809992,8.209,0.016267778305235098,1.2372022265625,7.26845625,10020000.0,9.434,2.484,-0.6588562500000004
Keppel Corp,https://www2.sgx.com/securities/equities/BN4,6.66,0.31,14.912907216494848,21.483870967741936,809100000.0,14.872,14.245999999999999,0.04525301924497762,147.17250055617353,1957640000.0,26606330000.0,8.308,0.04052585946527503,2.9530000000000003,0.03041005655421097,1.9616708362163022,11.349463917525775,53800000.0,-13.776,-12.743,6.570963751247088
CapitaLand,https://www2.sgx.com/securities/equities/C31,3.53,0.39,9.0394931880109,9.051282051282051,1762490000.0,56.861000000000004,50.867,0.051636150139147394,68.36295871182247,5059840000.0,64647560000.0,9.434,0.034468542900329704,4.5169999999999995,0.02726305524910762,2.56917189228519,5.117057220708447,107850000.0,9.327,15.876,0.011788863271151584
UOL,https://www2.sgx.com/securities/equities/U14,7.55,0.55,14.371998722860791,13.727272727272727,433720000.0,29.62,25.52,0.04124252472107665,183.06347758922806,677170000.0,20663710000.0,4.542,0.02505858481278281,3.037,0.020989454459049223,2.514998026387686,7.9318390804597705,29710000.0,15.689,-12.769,-0.6447259955880646
SGX,https://www2.sgx.com/securities/equities/S68,7.92,0.34,22.93983036935705,23.294117647058822,371730000.0,50.214,42.817,0.051036995746573784,155.18154789766766,571600000.0,2114940000.0,34.123000000000005,0.10964581096546598,20.971,0.17576385145677892,10.621068289040556,19.647233926128592,0.0,3.362,1.5519999999999998,0.35428727770177204
Jardine C&C,https://www2.sgx.com/securities/equities/C07,36.23,1.58,25.370057499999998,22.930379746835442,569020000.0,9.056000000000001,8.317,0.02620864108596685,1382.3685051492037,1949300000.0,27230800000.0,6.684,0.026084389431288615,5.996,0.020896191077750193,0.5641399577932098,4.640459166666667,45610000.0,-2.344,-15.755,-2.439677753164556
