,name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,avgVolume,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry,new PE ratio,new roe,new roa,aquirer multiple,normalized aquirer multiple,volume traded %,address
1,Genting Sing,0.915,0.9,0,02 Aug 2019,10884620000.0,12060000000.0,47.05%,581500000.0,0.06,0,0.9747899999999999,0.97421,14.589,4.346,10.059,1.358,3.889,2.48,-3306440000.0,10.695,7708950000.0,9767140000.0,4214240000.0,9.924,7.5889999999999995,-122100000.0,0,2504480000.0,975190000.0,37.931999999999995,743680000.0,29.694000000000003,-1.926,5.452999999999999,0,Services / Casinos & Gaming / ,15.250000000000002,0.043017569595241036,0.07614101978675436,0.09646968783037896,9.484844624031842,0.1024808652451522,https://www2.sgx.com/securities/equities/G13
10,SPH,2.16,2.12,0,02 Aug 2019,3393380000.0,1610000000.0,94.38%,89730000.0,0.19,0,2.38348,2.38315,13.182,3.5210000000000004,10.624,1.0090000000000001,4.0089999999999995,3.795,1913290000.0,37.858000000000004,4519580000.0,6196690000.0,481160000.0,8.083,4.423,-22670000.0,0,963770000.0,199720000.0,20.252,244860000.0,29.315,-4.525,-8.177,0,Services / Printing & Publishing / ,11.36842105263158,0.05139194385210807,0.0395146441083869,0.05417760057350462,39.868875275667726,0.05905162031644245,https://www2.sgx.com/securities/equities/T39
23,StarHub,1.51,1.49,0,02 Aug 2019,2580160000.0,1730000000.0,88.79%,43660000.0,0.11,0,1.56766,1.56772,13.991,1.077,5.199,4.438,9.564,6.029,1071900000.0,185.268,3442660000.0,2635500000.0,166000000.0,35.711999999999996,6.765,-272800000.0,0,2395800000.0,273500000.0,10.932,192700000.0,7.747000000000001,-0.142,-12.644,0,Services / Communications Services / ,13.727272727272727,0.11141304347826086,0.07311705558717511,0.05597415951618807,26.976733783082516,0.028423239350887686,https://www2.sgx.com/securities/equities/CC3
32,TheHourGlass,0.84,0.84,0,02 Aug 2019,592210000.0,705010000.0,33.13%,7090000.0,0.1,0,0.74541,0.7531899999999999,8.408999999999999,0.821,7.587000000000001,1.057,3.571,3.2319999999999998,-166000000.0,0.0,426210000.0,649140000.0,180970000.0,13.197000000000001,11.199000000000002,-19110000.0,0,720920000.0,82050000.0,11.380999999999998,70430000.0,9.905,1.093,5.095,0,Services / Retail (Specialty) / ,8.399999999999999,0.07070504261577537,0.1084973965554426,0.16524717862086766,5.083294050830611,0.03035495002087448,https://www2.sgx.com/securities/equities/AGS
34,United Engineers,2.65,2.64,0,02 Aug 2019,1683050000.0,615810000.0,30.77%,17220000.0,0.09,0,2.4983400000000002,2.48271,30.91,4.742,24.805999999999997,0.838,1.136,1.785,846370000.0,37.799,2521390000.0,3621670000.0,251250000.0,2.911,1.4469999999999998,-12500000.0,0,354960000.0,55000000.0,14.619000000000002,54460000.0,14.470999999999998,-29.476,-13.573,0,Services / Real Estate Operations / ,29.444444444444446,0.017994085675108618,0.015037261815681716,0.021599197268173508,122.68974476680133,0.09087803203906604,https://www2.sgx.com/securities/equities/U04
37,Sheng Siong,1.17,1.17,0,02 Aug 2019,1759140000.0,1500000000.0,40.90%,39830000.0,0.05,0,1.07891,1.07905,24.049,1.8730000000000002,17.476,5.831,2.991,3.8,-31140000.0,0.0,1671900000.0,436340000.0,87230000.0,25.244,16.253,-28170000.0,0,939260000.0,83790000.0,9.26,73150000.0,7.763999999999999,3.5869999999999997,10.862,0,Services / Retail (Department & Discount) / ,23.4,0.13187070721638333,0.1676444974102764,0.04375261678330044,26.74125768967874,0.06492257538712308,https://www2.sgx.com/securities/equities/OV8
42,Frasers Property,1.83,1.84,0,02 Aug 2019,5371860000.0,2920000000.0,12.49%,4190000.0000000005,0.28,0,1.80607,1.8062,7.395,1.1320000000000001,4.314,0.5720000000000001,4.6739999999999995,5.086,12259040000.0,130.674,17712820000.0,32420940000.0,2585190000.0,7.4479999999999995,4.05,-1424170000.0,0,4747430000.0,879190000.0,21.415,731160000.0,26.916999999999998,-11.634,-24.743000000000002,0,Services / Real Estate Operations / ,6.5357142857142865,0.03214301257875183,0.022552091333564048,0.041278576759657695,44.332923847037584,0.011488642969169858,https://www2.sgx.com/securities/equities/TQ5
46,Koufu,0.735,0.735,0,02 Aug 2019,408040000.0,555160000.0,18.66%,25140000.0,0.05,0,0.7370899999999999,0.73675,15.519,1.801,8.017000000000001,4.34,2.9930000000000003,0.0,80960000.0,4.774,316840000.0,159700000.0,95980000.0,36.478,0.0,-15090000.0,0,226540000.0,29050000.0,13.610999999999999,25270000.0,11.151,0.0,0.0,0,Services / Restaurants / ,14.7,0.14463141025641027,0.15823418910457107,0.07975634389597272,9.215567867036011,0.24268082733427104,https://www2.sgx.com/securities/equities/VL6
48,Citic Envirotech,0.31,0.31,0,02 Aug 2019,754030000.0,2430000000.0,15.71%,40060000.0,0.04,0,0.41968999999999995,0.41968999999999995,36.686,1.048,8.529,0.642,4.032,0.0,1229730000.0,85.042,1761220000.0,3786760000.0,376520000.0,5.37,1.2009999999999998,-31100000.0,0,719220000.0,198150000.0,18.128,20690000.0,6.577000000000001,0.0,0.0,0,Services / Waste Management Services / ,7.75,0.007052888138944282,0.0054637737802237275,0.011747538637989576,26.38850652489125,0.10493696185753612,https://www2.sgx.com/securities/equities/CEE
59,SIIC Environment,0.245,0.24,0,02 Aug 2019,625580000.0,2610000000.0,44.23%,15410000.0,0.04,0,0.30738000000000004,0.30599,5.3260000000000005,0.573,2.987,0.39,8.333,0.0,2384740000.0,110.89299999999999,2815650000.0,29718750000.0,2136290000.0,7.035,2.568,-298350000.0,0,1092140000.0,1463750000.0,28.313000000000002,117460000.0,13.309000000000001,13.270999999999999,8.935,0,Services / Waste Management Services / ,6.125,0.0039857076446456275,0.003952386961093585,0.041716832702928267,5.872929082240763,0.013348891158460259,https://www2.sgx.com/securities/equities/BHK
60,GuocoLand,1.99,1.99,0,02 Aug 2019,2354910000.0,1110000000.0,14.83%,4200000.0,0.34,0,1.94628,1.94675,11.415999999999999,2.9419999999999997,9.219,0.541,3.5180000000000002,2.8560000000000003,3346940000.0,77.774,6393780000.0,10499240000.0,884930000.0,9.624,2.3280000000000003,-27810000.0,0,800510000.0,447040000.0,33.374,193730000.0,29.623,11.327,56.611000000000004,0,Services / Real Estate Operations / ,5.852941176470589,0.024104075657907016,0.018451811750183823,0.030299760079327095,65.67708769937542,0.025514388292540685,https://www2.sgx.com/securities/equities/F17
68,Stamford Land,0.48,0.495,0,02 Aug 2019,427720000.0,828350000.0,40.35%,7010000.0,0.05,0,0.48686,0.48686,8.876,1.406,7.422999999999999,0.795,2.02,2.14,-58650000.0,0.0,365210000.0,667400000.0,168230000.0,9.215,6.562,-8770000.0,0,304220000.0,62730000.0,20.62,47690000.0,15.674000000000001,2.076,12.287,0,Services / Hotels & Motels / ,9.6,0.0533278167911616,0.07145639796224153,0.1305824046439035,3.6758397986999367,0.02097300219625629,https://www2.sgx.com/securities/equities/H07
69,Oxley,0.33,0.325,0,02 Aug 2019,1353640000.0,4160000000.0,15.93%,50360000.0,0.07,0,0.31676,0.31676,5.112,1.653,4.8580000000000005,0.9159999999999999,3.385,3.35,3669160000.0,223.84099999999998,4558790000.0,5995490000.0,254980000.0,22.980999999999998,4.235,-30890000.0,0,818690000.0,266890000.0,42.843999999999994,258390000.0,31.338,19.802,31.398000000000003,0,Services / Real Estate Operations / ,4.714285714285714,0.10010033665077034,0.04309739487514782,0.056679513642874525,5.822209450830141,0.07599352938335989,https://www2.sgx.com/securities/equities/5UX
76,APAC Realty,0.57,0.55,0,02 Aug 2019,195360000.0,355200000.0,26.10%,17650000.0,0.07,0,0.58897,0.58897,9.717,0.498,8.917,1.349,8.182,0.0,28110000.0,38.177,209860000.0,283200000.0,43020000.0,17.563,7.702999999999999,-370000.0,0,392410000.0,29470000.0,6.392,20100000.0,5.114,0.0,0.0,0,Services / Real Estate Operations / ,8.142857142857139,0.06742477608936298,0.07097457627118645,0.09577813780615647,5.951253731343282,0.19038434986710848,https://www2.sgx.com/securities/equities/CLN
